# Global CCD from Delaney and Boyle (1988)	
# Age (Ma)	CCD (m)
0.19	4491
0.90	4445
1.61	4400
2.32	4347
3.16	4292
3.93	4243
4.70	4187
5.54	4122
6.32	4073
7.09	4024
7.93	3981
8.83	3942
9.80	3912
10.83	3890
11.86	3873
13.15	3866
14.37	3863
15.79	3869
16.95	3889
18.05	3912
18.95	3938
19.91	3973
20.75	4012
21.59	4048
22.43	4087
23.33	4126
24.04	4165
25.07	4201
26.17	4221
27.45	4230
28.74	4227
30.03	4207
31.06	4171
31.90	4125
32.61	4067
33.13	4008
33.58	3952
34.09	3900
34.61	3831
35.19	3760
35.77	3688
36.41	3619
37.44	3547
38.41	3488
39.57	3433
40.99	3387
42.28	3358
43.57	3328
45.18	3312
46.60	3305
48.40	3298
50.01	3298
51.94	3298
53.49	3298
55.30	3317
56.71	3327
58.13	3346
59.42	3369
60.45	3391
61.80	3424
63.09	3447
64.64	3460
65.86	3463
67.15	3459
68.44	3440
