# Age (Ma)	Mean CCD depth (m) 
0	-4593
0.5	-4593
1	-4929
1.5	-4934
2	-5033
2.5	-4607
3	-5363
3.5	-5348
4	-5266
4.5	-5222
5	-4592
5.5	-4461
6	-4489.333333
6.5	-4517.666667
7	-4546
7.5	-4500
8	-4497
8.5	-4249.333333
9	-4001.666667
9.5	-3754
10	-4168
10.5	-4025.8
11	-3883.6
11.5	-3741.4
12	-3599.2
12.5	-3457
13	-4249
13.5	-3975
14	-4123.5
14.5	-4272
15	-4257
15.5	-3504
16	-3584
16.5	-3463
17	-3519.5
17.5	-3576
18	-3632.5
18.5	-3689
19	-3596.5
19.5	-3504
20	-4462
20.5	-4316
21	-4843
21.5	-4838.166667
22	-4833.333333
22.5	-4828.5
23	-4823.666667
23.5	-4818.833333
24	-4814
24.5	-4809.166667
25	-4804.333333
25.5	-4799.5
26	-4794.666667
26.5	-4789.833333
27	-4785
27.5	-4780.166667
28	-4775.333333
28.5	-4770.5
29	-4765.666667
29.5	-4760.833333
30	-4756
30.5	-4705.714286
31	-4655.428571
31.5	-4605.142857
32	-4554.857143
32.5	-4504.571429
33	-4454.285714
33.5	-4404
34	-4589
34.5	-4651
35	-4594.545455
35.5	-4538.090909
36	-4481.636364
36.5	-4425.181818
37	-4368.727273
37.5	-4312.272727
38	-4255.818182
38.5	-4199.363636
39	-4142.909091
39.5	-4086.454545
40	-4030
40.5	-4032
41	-4119.5
41.5	-4207
42	-4182
42.5	-4103
43	-4032
43.5	-3738
44	-3754
44.5	-3770
45	-3786
45.5	-4006.75
46	-4227.5
46.5	-4448.25
47	-4669
47.5	-4606
48	-4722
48.5	-3862
49	-3805
49.5	-3808
50	-3850
50.5	-3997
51	-4128
51.5	-4579
52	-4467.5
52.5	-4356
53	-4044.333333
53.5	-3732.666667
54	-3421
54.5	-3535
55	-3649
55.5	-3763
56	-3877
56.5	-3991
57	-3793
57.5	-3595
58	-3397
58.5	-3199
59	-3001
59.5	-3034
60	-3060
60.5	-3085
61	-3110
61.5	-3135
62	-3160
62.5	-3185
63	-3210
63.5	-3228
64	-3238
64.5	-3248
65	-3520
65.5	-3509
66	-3179
66.5	-3208
67	-3264
67.5	-3320
68	-3376
68.5	-3432
