# Age (Ma)	Mean CCD depth (m). 
0	-4193
0.5	-4225
1	-4544
1.5	-4281
2	-4077
2.5	-3962
3	-4213
3.5	-4317
4	-4329
4.5	-4351
5	-4537
5.5	-4433
6	-4403
6.5	-4119
7	-4136
7.5	-4198
8	-4265
8.5	-4337
9	-4209
9.5	-4074
10	-4075
10.5	-4526
11	-4612
11.5	-4771
12	-4822
12.5	-4786
13	-4678
13.5	-4651
14	-4569
14.5	-4585
15	-4624
15.5	-4551
16	-4494
16.5	-4419
17	-4422
17.5	-4413
18	-4464
18.5	-4416
19	-4591
19.5	-4672
20	-4635
20.5	-4535
21	-4548
21.5	-4643
22	-4506
22.5	-4497
23	-4457
23.5	-4487
24	-4490
24.5	-4473
25	-4367
25.5	-4357
26	-4450
26.5	-4590
27	-4521
27.5	-4381
28	-4389
28.5	-4535
29	-4605
29.5	-4456
30	-4532
30.5	-4582
31	-4603
31.5	-4613
32	-4439
32.5	-4412
33	-4445
33.5	-4316
34	-4194
34.5	-4081
35	-3987
