# Age_Myr	SL (m) # Miller et al (0-66.6 Ma), Haq hybrid 66.7 - 205 Ma
0.0	-0.830000
0.1	-35.014611
0.2	-11.657940
0.3	-31.425608
0.4	10.765519
0.5	-17.430817
0.6	-37.593562
0.7	-47.754039
0.8	-69.666029
0.9	-59.586445
1.0	-36.299006
1.1	-40.700112
1.2	-28.999075
1.3	-38.500585
1.4	-18.822209
1.5	-45.704704
1.6	-22.230011
1.7	-40.327175
1.8	-31.000636
1.9	-33.351590
2.0	-18.768290
2.1	-28.468596
2.2	-29.525342
2.3	-12.661189
2.4	-27.416818
2.5	-11.404191
2.6	-32.288099
2.7	-26.111448
2.8	-13.007856
2.9	-7.305292
3.0	-7.715223
3.1	2.762324
3.2	2.144367
3.3	-17.723552
3.4	-2.930274
3.5	13.956330
3.6	9.618080
3.7	15.343235
3.8	8.621007
3.9	12.357092
4.0	-10.595664
4.1	10.450884
4.2	8.236831
4.3	6.132484
4.4	6.127175
4.5	1.638193
4.6	1.086701
4.7	-2.964555
4.8	3.486589
4.9	-21.487653
5.0	6.230399
5.1	1.892522
5.2	4.913367
5.3	3.543925
5.4	1.332628
5.5	-1.626645
5.6	-3.284335
5.7	-7.241118
5.8	-0.332699
5.9	-4.722286
6.0	-9.601845
6.1	-2.401237
6.2	-6.026265
6.3	-3.005068
6.4	-6.427607
6.5	-11.739663
6.6	-5.669539
6.7	0.607279
6.8	-2.204725
6.9	0.345637
7.0	0.934269
7.1	-0.787716
7.2	10.543406
7.3	-4.782092
7.4	6.772543
7.5	-2.489973
7.6	-8.587383
7.7	-9.806075
7.8	-16.045286
7.9	-8.474509
8.0	-7.886723
8.1	-9.015919
8.2	-16.778537
8.3	-19.360609
8.4	-11.092969
8.5	-9.533478
8.6	-21.624890
8.7	-16.888170
8.8	-20.195800
8.9	-25.745217
9.0	-15.526023
9.1	-18.564820
9.2	-17.260460
9.3	-15.157375
9.4	-19.875831
9.5	-17.054617
9.6	5.841263
9.7	-12.935035
9.8	-0.183931
9.9	-13.442130
10.0	5.847733
10.1	10.216881
10.2	4.614300
10.3	-4.265645
10.4	6.890033
10.5	8.861700
10.6	4.070700
10.7	12.859800
10.8	0.864545
10.9	5.165330
11.0	4.058600
11.1	-6.702000
11.2	1.891100
11.3	-1.352681
11.4	2.904391
11.5	13.564515
11.6	15.271882
11.7	21.016041
11.8	28.868179
11.9	16.756433
12.0	36.248101
12.1	30.240603
12.2	29.747551
12.3	39.195004
12.4	28.692611
12.5	27.860700
12.6	29.056700
12.7	24.886682
12.8	12.194629
12.9	12.328450
13.0	11.253412
13.1	28.075400
13.2	28.681350
13.3	20.122782
13.4	23.306000
13.5	27.630000
13.6	19.793600
13.7	27.757800
13.8	27.985400
13.9	50.805217
14.0	45.193400
14.1	45.644050
14.2	45.106408
14.3	47.977600
14.4	44.505200
14.5	56.265700
14.6	56.045161
14.7	58.449200
14.8	61.727884
14.9	60.907417
15.0	62.662084
15.1	64.522900
15.2	62.876300
15.3	55.900259
15.4	48.275289
15.5	55.771425
15.6	55.562154
15.7	47.647100
15.8	46.653200
15.9	39.010513
16.0	57.441098
16.1	47.413033
16.2	54.658300
16.3	54.400363
16.4	60.318600
16.5	63.387184
16.6	60.792789
16.7	56.304842
16.8	54.743331
16.9	53.123300
17.0	41.729400
17.1	37.077600
17.2	38.606212
17.3	50.488779
17.4	42.566049
17.5	39.501978
17.6	28.840137
17.7	38.838156
17.8	37.788189
17.9	25.694001
18.0	22.601697
18.1	26.942494
18.2	24.873645
18.3	21.414733
18.4	16.077577
18.5	27.493815
18.6	17.667990
18.7	17.675646
18.8	32.130320
18.9	17.590611
19.0	14.529222
19.1	19.509400
19.2	24.644796
19.3	20.661600
19.4	5.279236
19.5	11.130312
