# Age (kyr)	GMGSL (m)Miller et al. (2024)
0.000000	-0.8300
0.001310	1.0272
0.002840	11.6032
0.003573	4.1218
0.004307	14.0819
0.005446	5.9742
0.006127	6.5913
0.006770	12.8149
0.007714	-4.0118
0.008900	-4.0219
0.009477	-1.5352
0.010025	-2.1628
0.010545	2.1933
0.010979	0.9439
0.011496	2.1855
0.011879	-22.1112
0.012261	-12.1478
0.012595	-23.3630
0.012916	4.6654
0.013238	-30.2203
0.013540	-25.2395
0.013842	-23.3733
0.014132	-24.6215
0.014434	-55.1466
0.014726	-37.7075
0.015018	-47.0536
0.015305	-41.4497
0.015592	-58.8935
0.015879	-76.9602
0.016163	-71.3563
0.016542	-83.8175
0.016825	-88.1802
0.017108	-88.8054
0.017390	-83.2014
0.017671	-80.7120
0.017952	-107.4994
0.018231	-106.2558
0.018497	-98.7830
0.018764	-93.1790
0.019026	-103.1476
0.019259	-101.9037
0.019525	-93.8079
0.019769	-92.5641
0.020003	-85.7139
0.020237	-101.2885
0.020466	-102.5361
0.020836	-91.3265
0.021125	-90.7058
0.021337	-98.1824
0.021550	-100.0528
0.021756	-86.9732
0.021961	-96.9414
0.022166	-93.2055
0.022367	-93.8300
0.022568	-86.9795
0.022768	-86.9810
0.022967	-91.3430
0.023166	-91.3445
0.023365	-92.5918
0.023565	-89.4788
0.023765	-89.4804
0.023966	-101.3172
0.024170	-91.3522
0.024374	-91.9767
0.024582	-90.1096
0.024794	-85.7508
0.024998	-91.3586
0.025223	-96.9665
0.025445	-88.2474
0.025667	-80.1512
0.025899	-88.8737
0.026135	-97.5962
0.026371	-88.8772
0.026622	-83.2728
0.026875	-78.9143
0.027129	-82.0308
0.027402	-82.0328
0.027676	-85.7723
0.027954	-78.9223
0.028251	-83.9078
0.028548	-77.0580
0.028850	-70.2082
0.029167	-65.8502
0.029484	-64.6068
0.029808	-74.5757
0.030140	-71.4636
0.030473	-73.3347
0.030814	-70.8455
0.031160	-53.4065
0.031506	-66.4901
