age,depth,sl,MOR_ridge,arc_subduction,rift,carb_platform,intraplate,gross_outflux,net_influx,net_out_incl_sed,net_out_excl_sed,sink_plate_sed,crust_sink
0.0,4611.0,-4.62,13.321974810342496,16.5,14.5,87.48777505194842,6.0,137.80974986229091,-31.11447732754232,-31.11447732754232,104.27061097802492,158.20734429559812,22.822255990030875
1.0,4543.2,-12.509,13.58730305334458,17.599334935218373,14.5,87.48777505194842,6.0,139.17441304051135,-33.32753550560696,-33.32753550560696,105.4937398948308,161.64353139046864,22.822255990030875
2.0,4396.8,-9.176,13.58730305334458,17.599334935218373,14.5,87.48777505194842,6.0,139.17441304051135,-34.07750057198223,-34.07750057198223,104.74377482845554,162.5188713553684,23.697595954930623
3.0,4339.2,8.341,13.637921913100929,17.616543206456797,14.5,87.63309399298177,6.0,139.3875591125395,-96.86096580950552,-96.86096580950552,104.58662667866264,225.28609312231887,23.838500634150712
4.0,4392.0,12.103,13.637921913100929,16.517208271238424,14.5,92.204333870002,6.0,142.85946405434134,-93.7449335235332,-93.7449335235332,107.7998544952308,225.66637069273276,24.12158267396876
5.0,4418.0,7.673,13.637921913100929,16.103897086834568,14.5,98.68339847517952,6.0,148.925217475115,-87.20600092033229,-87.20600092033229,113.59055599989064,225.07965475244785,24.283097832224943
6.0,4336.5,2.881,13.637921913100929,15.72488537412393,19.298770384581843,100.92245012700737,6.0,155.58402779881408,-79.08365432230372,-79.08365432230372,119.86113181826704,223.34386122070808,24.399075080137276
7.0,4252.2,0.987,13.759209940144116,15.458479289728764,19.298770384581843,102.0039546087372,6.0,156.52041422319192,-77.96231567715566,-77.96231567715566,120.5115485425746,223.08562755350235,24.6117633337721
8.0,4216.5,-2.26,14.101692558664029,15.146860523325753,19.298770384581843,102.0670013067988,6.0,156.6143247733704,-80.12971273309367,-80.12971273309367,120.5247487942958,225.48982149229175,24.83535996490232
9.0,4156.8,-0.536,14.20091168231737,14.67300616776548,19.298770384581843,102.0670013067988,6.0,156.2396895414635,-80.47011247592874,-80.47011247592874,120.08098174564374,225.6219859170689,25.070891695496417
10.0,4160.8,8.867,14.325623501088334,13.752414821114789,19.954412662422605,102.0670013067988,6.0,156.09945229142454,-82.02381008930953,-82.02381008930953,119.8874244081275,227.20095368353836,25.28971918610132
11.0,4286.2,21.149,14.43638081136005,13.80737775058959,19.954412662422605,102.0670013067988,6.0,156.26517253117106,-80.66779534363673,-80.66779534363673,120.17588878479432,226.13340331453236,25.28971918610132
12.0,4385.5,30.241,14.814043420584916,12.93033860295068,19.954412662422605,102.0670013067988,6.0,155.765795992757,-78.40661757706016,-78.40661757706016,119.69570856822408,223.39204533138556,25.28971918610132
13.0,4363.2,39.559,14.839505870174598,12.36611309114635,19.954412662422605,102.0670013067988,6.0,155.22703293054235,-77.26630469626943,-77.26630469626943,119.0724238772942,221.71296938838015,25.37424081481653
14.0,4306.2,57.296,15.205732739543286,12.16492429060213,19.954412662422605,102.0039546087372,6.0,155.32902430130522,-78.26235971149171,-78.26235971149171,118.87256784794266,222.9186949274299,25.78376736799549
15.0,4265.5,62.705,15.66498518169198,11.565720280599969,19.954412662422605,102.0039546087372,6.0,155.18907273345178,-77.13390199731731,-77.13390199731731,118.1280958294191,221.64137411188815,26.37937628515176
16.0,4228.0,61.856,15.78728846440466,11.158955058624905,19.954412662422605,102.0039546087372,6.0,154.90461079418938,-77.72628937602667,-77.72628937602667,117.31447644285971,221.84162039827058,26.800854579384183
17.0,4217.8,59.2,15.812446722337311,10.791453671441918,19.954412662422605,101.79012402419184,6.0,154.3484370803937,-76.20875543425154,-76.20875543425154,117.6833126733824,220.17454526053885,26.2824771529049
18.0,4236.2,45.266,16.003901268676785,10.76255494970199,19.954412662422605,101.30092400435888,6.0,154.02179288516027,-76.6388328526547,-76.6388328526547,117.1629066285345,220.29355942685643,26.49181994566722
19.0,4266.8,32.074,16.003901268676785,10.692948376273607,19.954412662422605,101.30092400435888,6.0,153.95218631173188,-76.54716023382028,-76.54716023382028,117.03701024117224,220.07599042065974,26.49181994566722
20.0,4301.0,30.463,16.003901268676785,10.02100098006893,19.954412662422605,101.30092400435888,6.0,153.2802389155272,-77.74923912907607,-77.74923912907607,116.24090773664716,220.48196681139044,26.49181994566722
21.0,4306.8,31.461,16.09080592689126,10.010891686478493,19.954412662422605,99.86459577635428,6.0,151.92070605214664,-81.59721790372072,-81.59721790372072,115.45270824052164,223.60459055100876,26.55466440676636
22.0,4278.2,34.446,16.2424450359245,9.91408942206822,19.954412662422605,99.86459577635428,6.0,151.9755428967696,-84.32446760820267,-84.32446760820267,115.54161015629,226.44136052350768,26.57528275901503
23.0,4284.0,42.798,16.349699065103255,9.91408942206822,20.460211912444407,99.86459577635428,6.0,152.58859617597017,-87.72676853211254,-87.72676853211254,115.12411093784398,230.45671472661812,27.605835256661607
24.0,4309.0,49.874,17.120700073156264,9.945424400058249,21.25241998779105,99.86459577635428,6.0,154.18314023735985,-88.33928597364542,-88.33928597364542,116.35455630990305,232.66377622954064,27.969933945992224
25.0,4317.2,50.545,17.120700073156264,10.046836830421793,21.25241998779105,99.86459577635428,6.0,154.28455266772335,-91.93104836723606,-91.93104836723606,116.45596874026656,236.35695105349487,27.969933945992224
26.0,4358.2,46.969,17.32267767017217,10.223990566027176,21.25241998779105,100.07495502478496,6.0,154.87404324877537,-91.32860049062155,-91.32860049062155,117.05841661688108,236.35695105349487,27.969933945992224
27.0,4371.2,38.124,17.32267767017217,10.735425790393498,21.25241998779105,101.7680604457404,6.0,157.07858389409714,-90.61922296477692,-90.61922296477692,119.31600070810867,237.9051576188778,27.969933945992224
28.0,4340.8,28.993,16.96485749650388,10.78849879691608,21.25241998779105,107.27845350437462,6.0,162.28422978558564,-85.64679790716534,-85.64679790716534,124.28842576572026,237.90182501563345,27.96660134274785
29.0,4401.0,31.507,16.96485749650388,10.925399068817692,21.25241998779105,107.27845350437462,6.0,162.42113005748726,-86.38087366695191,-86.38087366695191,123.98225867373117,238.32973368343093,27.96660134274785
