Age_Ma,volume_1e6km3,added_1e6km3_per_myr_raw,added_1e6km3_per_myr_smoothed,area_above_CCD_1e6km2
0.0000,39.1473,,,188.8600
1.0000,38.6219,0.5254,0.5032,181.1481
2.0000,38.1506,0.4713,0.5032,162.9567
3.0000,37.6339,0.5167,0.5047,154.9501
4.0000,37.1691,0.4648,0.5074,161.4975
5.0000,36.5741,0.5950,0.5108,164.0996
6.0000,36.1552,0.4189,0.5142,153.4079
7.0000,35.5736,0.5816,0.5171,142.6067
8.0000,35.0558,0.5178,0.5201,138.2027
9.0000,34.5393,0.5165,0.5253,131.1712
10.0000,34.0459,0.4934,0.5351,131.5979
11.0000,33.5661,0.4798,0.5496,146.0608
12.0000,32.9267,0.6394,0.5635,157.5985
13.0000,32.2757,0.6510,0.5700,154.8572
14.0000,31.6668,0.6089,0.5660,148.4842
15.0000,31.1589,0.5079,0.5559,143.5701
16.0000,30.6881,0.4708,0.5469,138.7808
17.0000,30.1437,0.5444,0.5433,137.3275
18.0000,29.5397,0.6040,0.5442,138.8142
19.0000,29.0391,0.5006,0.5470,140.9142
20.0000,28.4400,0.5991,0.5512,143.2484
21.0000,27.9635,0.4765,0.5583,143.1039
22.0000,27.3958,0.5677,0.5689,139.5146
23.0000,26.7679,0.6279,0.5820,139.5904
24.0000,26.1840,0.5839,0.5956,141.6771
25.0000,25.5954,0.5886,0.6076,142.5447
26.0000,24.9682,0.6272,0.6172,146.2963
27.0000,24.2890,0.6792,0.6216,146.8054
28.0000,23.6944,0.5946,0.6189,142.8185
29.0000,23.0377,0.6567,0.6085,148.3993
30.0000,22.3768,0.6609,0.5927,158.3426
31.0000,21.9677,0.4091,0.5752,156.3013
32.0000,21.3225,0.6452,0.5579,149.2535
33.0000,20.7607,0.5618,0.5405,142.3804
34.0000,20.2408,0.5199,0.5219,130.8664
35.0000,19.7675,0.4733,0.5026,117.3221
36.0000,19.2786,0.4889,0.4840,110.3779
37.0000,18.8157,0.4629,0.4670,103.1837
38.0000,18.3532,0.4625,0.4521,101.1356
39.0000,17.9374,0.4158,0.4387,95.7468
40.0000,17.4949,0.4425,0.4276,84.5607
41.0000,17.1438,0.3511,0.4180,90.7169
42.0000,16.6602,0.4836,0.4070,94.5510
43.0000,16.2238,0.4364,0.3935,86.7298
44.0000,15.8874,0.3364,0.3794,82.5047
45.0000,15.5763,0.3111,0.3657,73.4435
46.0000,15.3041,0.2722,0.3498,66.9436
47.0000,14.6862,0.6179,0.3244,64.9079
48.0000,14.4476,0.2386,0.2838,61.0094
49.0000,14.2336,0.2140,0.2323,55.1214
50.0000,14.0163,0.2173,0.1844,51.7340
51.0000,14.0623,-0.0460,0.1565,51.2744
52.0000,14.0762,-0.0139,0.1564,49.3183
