,crust,crust,crust,lithosphere,lithosphere,lithosphere,sediments,sediments,sediments,serpentinite,serpentinite,serpentinite,organic_sediments,organic_sediments,organic_sediments,total,total,total
,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max
time,,,,,,,,,,,,,,,,,,
0,1898031601.8691497,2254301429.610938,2693347251.98868,664035471.9306409,1390372647.3185961,2260510864.8121004,10403605696.423748,10403605696.423748,10403605696.423748,207270844.1142075,234058798.9544279,350654390.2151344,0.0,357961522.3627213,785205920.0214533,13172943614.337746,14640300094.670431,16493324123.461117
1,1898031601.8691497,2254301429.610938,2693347251.98868,664035471.9306409,1390442753.1268504,2260510864.8121004,10403605696.423748,10403605696.423748,10403605696.423748,207270844.1142075,234058798.9544279,350654390.2151344,0.0,357961522.3627213,785205920.0214533,13172943614.337746,14640370200.478685,16493324123.461117
2,1898031601.8691497,2254301429.610938,2693347251.98868,664035471.9306409,1390442753.1268504,2260510864.8121004,10403605696.423748,10403605696.423748,10403605696.423748,207270844.1142075,234058798.9544279,350654390.2151344,0.0,357961522.3627213,785205920.0214533,13172943614.337746,14640370200.478685,16493324123.461117
3,1898031601.8691497,2254301429.610938,2693347251.98868,665130886.3178536,1390492086.6198957,2260510864.8121004,10403605696.423748,10403605696.423748,10403605696.423748,207270844.1142075,234058798.9544279,350654390.2151344,0.0,356325625.9229096,781617502.0244468,13174039028.72496,14638783637.53192,16489735705.46411
4,1897460396.4928958,2253305934.1389074,2691813766.7675076,666679481.518483,1390442753.1268504,2259109192.3815084,10261282247.861267,10261282247.861267,10261282247.861267,205692836.75847387,232320430.1075551,348787157.5503676,0.0,356325625.9229096,781617502.0244468,13031114962.63112,14493676991.15749,16342609866.585096
5,1896255896.6309693,2251831529.8535547,2689988754.5545382,666909036.2010859,1390442753.1268504,2258311687.9439783,10135886934.824903,10135886934.824903,10135886934.824903,204497776.52171484,230871679.62650692,347188894.925897,0.0,356263724.7671322,781481718.8440318,12903549644.178675,14365296622.198948,16212857991.09335
6,1895555113.288685,2251283227.6437845,2689655658.0582056,668240357.3525053,1390442753.1268504,2258041427.787145,9970240276.675692,9970240276.675692,9970240276.675692,203813384.4100275,230128316.716515,346483065.72224796,0.0,355037921.9039347,778792860.9505665,12737849131.72691,14197132496.066776,16043213289.193857
7,1895253276.6316876,2250792750.4033613,2688919767.010616,669515156.1973407,1390372647.3185961,2256877221.2114134,9856048574.944065,9856048574.944065,9856048574.944065,202090491.58208412,228201044.76297498,344475187.6616996,0.0,354726766.11875707,778110325.6798542,12622907499.355179,14080141783.547756,15924431076.507647
8,1894139249.8169272,2249526010.776616,2687469976.199145,670541353.0059853,1390244642.4546475,2255986059.838257,9696253120.133888,9696253120.133888,9696253120.133888,200459828.7693631,226379470.35323757,342503436.2020022,0.0,351797602.0838933,771685062.6356369,12461393551.726164,13914200845.802282,15753897655.008928
9,1894085322.5160923,2249187806.873532,2686744226.2580175,671263308.096362,1390015522.2439053,2253733424.6917963,9549227062.141617,9549227062.141617,9549227062.141617,198603817.9226145,224354622.27020878,340403036.2958173,0.0,350364757.0804547,768542047.7893845,12313179510.676685,13763149770.609716,15598649797.176632
10,1891828251.807817,2246460491.5738387,2683382118.7897387,672280264.044919,1390015522.2439053,2253530616.0404673,9408717825.827381,9408717825.827381,9408717825.827381,198476249.81224206,224061205.42715025,340016714.724357,0.0,349452166.3871209,766540235.9459426,12171302591.49236,13618707211.459398,15452187511.327887
11,1891095326.099278,2245626753.805193,2682451184.3786755,673980837.1494817,1389817929.8670764,2252984006.113428,9272145698.03275,9272145698.03275,9272145698.03275,197776463.07432017,223202050.26782215,339091636.2732786,0.0,349025990.2409077,765605397.9477975,12034998324.35583,13479818422.213749,15312277922.74593
12,1890668819.9085479,2245049454.432666,2681636649.462864,675788700.5326648,1389071661.0781565,2245706628.9523926,9147360119.89139,9147360119.89139,9147360119.89139,195874914.26656342,221197527.09888518,336926090.0045282,0.0,347465027.95619977,762181351.6458575,11909692554.599167,13350143790.457296,15173810839.957031
13,1888972950.556755,2243008853.411621,2679141119.266244,677070113.1607349,1386118172.2460275,2232639377.025129,8970642123.84963,8970642123.84963,8970642123.84963,194245307.66808063,219335630.689097,334499309.19164735,0.0,343715002.3947185,753955489.1238987,11730930495.2352,13162819782.591093,14970877418.456549
14,1888417629.6850748,2242461824.9999003,2678668088.496672,678231552.9791405,1385432330.3727632,2231715280.1869354,8783895851.138575,8783895851.138575,8783895851.138575,192135760.4538383,216998135.6021174,331815483.5044887,0.0,339960500.72850597,745719808.0496261,11542680794.256628,12968748642.841862,14771814511.376295
15,1886609411.1747794,2240171681.5102468,2675691292.620535,679550594.7793822,1385314389.1529508,2229151256.8267355,8618344705.40544,8618344705.40544,8618344705.40544,192046180.44137514,216942043.73706344,331347432.25479054,0.0,337643894.11540365,740638219.3499177,11376550891.800976,12798416713.921106,14595172906.45742
16,1884616758.6653795,2237853220.456997,2672929837.9332533,680824617.3932768,1384299078.180417,2225257752.0880675,8479673898.862171,8479673898.862171,8479673898.862171,190908300.18710387,215524793.58731973,329442334.7160648,0.0,335840473.3465672,736682328.6311796,11236023575.107931,12653191464.433472,14443986152.230736
17,1884616758.6653795,2237853220.456997,2672929837.9332533,681480860.981416,1384299078.180417,2221686879.135951,8344002838.108498,8344002838.108498,8344002838.108498,190184704.07330602,214583534.8461392,328211630.58218515,0.0,335122753.4010397,735107975.2022805,11100285161.828598,12515861424.99309,14301939160.962168
18,1884616758.6653795,2237853220.456997,2672929837.9332533,682058651.2073882,1384106051.3575797,2221456557.2616224,8199555095.475151,8199555095.475151,8199555095.475151,187961897.98185146,212217898.09229875,325729929.40396386,0.0,333403838.0297632,731337451.1620615,10954192403.329771,12367136103.411789,14151008871.236052
