,min_continental_arc_length,mean_continental_arc_length,max_continental_arc_length
0,51281.65641097029,51986.63324178167,51986.63324178167
1,51281.65641097029,51986.63324178167,51986.63324178167
2,51281.65641097029,51986.63324178167,51986.63324178167
3,51281.65641097029,52840.96673883523,53120.066398982955
4,51281.65641097029,52840.96673883523,53120.066398982955
5,51281.65641097029,52840.96673883523,53120.066398982955
6,51281.65641097029,52840.96673883523,53120.066398982955
7,51281.65641097029,52840.96673883523,53120.066398982955
8,51255.32484492827,52840.96673883523,53120.066398982955
9,50921.48732196671,52529.36823261853,52755.09425257863
10,50385.05474601765,51882.85252378251,52089.6753795095
11,49722.97465570662,51601.80913492796,52089.6753795095
12,49708.1880040873,51601.80913492796,52089.6753795095
13,49708.1880040873,51601.80913492796,52089.6753795095
14,49673.942240113014,51601.80913492796,52725.991431379545
15,49673.942240113014,51601.80913492796,52725.991431379545
16,49673.942240113014,51900.90433328314,53059.557105689215
17,49673.942240113014,52296.7120692689,53407.98987734172
18,49673.942240113014,52633.978500016994,54025.32748717583
19,49673.942240113014,52633.978500016994,54025.32748717583
20,49673.942240113014,52633.978500016994,54025.32748717583
21,49189.215863886304,52633.978500016994,54025.32748717583
22,49114.703952304204,52633.978500016994,54025.32748717583
23,48751.402219925716,52296.7120692689,53407.98987734172
24,46924.01657559389,50653.48535064899,52558.622741540225
25,45693.82634306318,49316.910661703034,50622.51001566701
26,45693.82634306318,49316.910661703034,50622.51001566701
27,45693.82634306318,49316.910661703034,50622.51001566701
28,45693.82634306318,49316.910661703034,50622.51001566701
29,45693.82634306318,49316.910661703034,50622.51001566701
30,46597.45363246766,49295.21146179674,50194.33125977189
31,47254.50861577409,49855.950828423265,50671.57053155377
32,47254.50861577409,49855.950828423265,50671.57053155377
33,47254.50861577409,49855.950828423265,50671.57053155377
34,47254.50861577409,49855.950828423265,50671.57053155377
35,47254.50861577409,49855.950828423265,50671.57053155377
36,46597.45363246766,49295.21146179674,50194.33125977189
37,46140.62863476774,48562.82050288726,50186.20941914049
38,46072.7836930234,48298.124164796245,49137.562083392455
39,45832.44920518273,48213.0924715644,49062.45380232248
40,45757.40788412401,48153.67607074976,49011.38678532924
41,45619.43003807639,48025.48133498137,48853.116538732334
42,44103.22942945769,46259.302687751406,48406.479754465545
43,44103.22942945769,46259.302687751406,48406.479754465545
44,44103.22942945769,46259.302687751406,48406.479754465545
45,44103.22942945769,46259.302687751406,48406.479754465545
46,44103.22942945769,46259.302687751406,48406.479754465545
47,44103.22942945769,46259.302687751406,48406.479754465545
48,44103.22942945769,46753.74105783143,49325.731425913706
49,44138.06912946646,46812.722533746986,49685.95541563836
50,44195.93413938798,47094.12460665156,49685.95541563836
51,44195.93413938798,47094.12460665156,49685.95541563836
52,44195.93413938798,47094.12460665156,49685.95541563836
53,44138.06912946646,47094.12460665156,49758.23178680094
54,43698.21252652615,47094.12460665156,49758.23178680094
55,43544.42117997918,47094.12460665156,49758.23178680094
56,41922.759896135896,47022.57205894372,49758.23178680094
57,41922.759896135896,47022.57205894372,49758.23178680094
58,41902.10200193349,47022.57205894372,49758.23178680094
59,41866.55698114197,46946.826752691035,49259.903330708774
60,41229.68639161544,46892.45382603283,49259.903330708774
61,41006.28316273989,46207.96622893981,49259.903330708774
62,40544.90897100875,46207.96622893981,49211.184250154125
63,39250.14940406932,45299.418101008676,48060.39202988036
64,39119.80901563129,43856.76072233893,46235.22356319939
65,38894.736651852356,43523.961347226075,45894.346765636685
66,38894.736651852356,43523.961347226075,45894.346765636685
67,38709.236873274516,43203.3813831514,45578.82350422432
68,38574.820140832715,43155.882629874184,45439.514516844894
69,38500.42018943223,43105.86917005458,45424.28666570397
70,37974.10673207188,42738.81606965348,44994.964318417326
71,37071.14376441253,41972.97018490797,44499.32248712161
72,36032.63912638015,40901.31586724386,43207.41697165535
73,36032.63912638015,40819.02697545153,43207.41697165535
74,36032.63912638015,40819.02697545153,43207.41697165535
75,36032.63912638015,40819.02697545153,43207.41697165535
76,36032.63912638015,40819.02697545153,43207.41697165535
77,36074.098533752054,40901.31586724386,43767.79112875991
78,36114.30328723616,40938.35221139235,44230.00683807549
79,36755.86323291424,41807.88472910929,44981.84296670619
80,36755.86323291424,41813.11743563203,45179.9757385287
81,36755.86323291424,42425.66886440817,46008.38087950887
82,36755.86323291424,42425.66886440817,46008.38087950887
83,36755.86323291424,42425.66886440817,46008.38087950887
84,36755.86323291424,42425.66886440817,46008.38087950887
85,36499.739603739086,42425.66886440817,46008.38087950887
86,36162.55418203892,41891.788126587824,45179.9757385287
87,36069.86865661514,41813.11743563203,44607.500002465924
88,35622.62889805755,41400.932005654126,44137.596630297325
89,35537.125621409126,41270.21055552042,44057.380299086886
90,35389.631574198225,40961.46359322807,43748.183330688
91,35346.54496147746,40924.283327027784,43729.15864246121
92,35219.04626953849,40731.94674629785,43482.37738182876
93,34691.8641167565,40074.455059332024,43213.46534211169
94,34554.213579919866,39923.758790131484,43003.41133532971
95,34118.273076893565,39830.82862936475,43003.41133532971
96,34106.44236889998,39687.44553909648,42872.62871237595
97,34106.44236889998,39687.44553909648,42872.62871237595
98,33954.21089817883,39540.86899762225,42666.54184847661
99,34106.44236889998,39659.33583284615,42666.54184847661
100,34106.44236889998,39659.33583284615,42666.54184847661
101,34106.44236889998,39659.33583284615,42666.54184847661
102,33954.21089817883,39540.86899762225,42423.64561422955
103,33954.21089817883,39540.86899762225,42423.64561422955
104,33301.91951059852,38286.795113954024,41724.391127287396
105,31510.69769507944,36542.93983319796,39482.40043998338
106,31392.402123629836,36229.0550622689,39120.511049697
107,31350.655743862262,36195.524372332155,39118.283099789885
108,31197.266809660778,36188.118891937556,39107.895779888204
109,31147.06284254084,36173.013058704244,38995.907715772555
110,31128.62488291111,35865.64037869947,38753.25627599324
111,30535.03383922981,35619.333742745875,38648.019010000615
112,29553.596881407066,33885.54495180428,36722.143073255196
113,29382.46591084656,33854.75446742141,36650.49192611986
114,29212.6227039011,33749.04004117271,36516.1546881595
115,29016.15969654022,33596.018121469424,36401.47721208089
116,28989.570754197204,33506.17733540506,36264.6687219509
117,27160.564722179926,32813.034190218044,36180.06746823892
118,27160.564722179926,32813.034190218044,36180.06746823892
119,27160.564722179926,32813.034190218044,36093.17822388716
120,27160.564722179926,32640.53906518987,35832.577201501466
121,27160.564722179926,32468.419316542157,35712.49301520914
122,27769.92192169539,32468.419316542157,35712.49301520914
123,28227.094548042314,32468.419316542157,35712.49301520914
124,28432.038997527376,32468.419316542157,35712.49301520914
125,28458.821010711505,32468.419316542157,35644.2753774322
126,28458.821010711505,32468.419316542157,35514.00789934036
127,28581.05593820539,32468.419316542157,35514.00789934036
128,28642.92541526121,32468.419316542157,35514.00789934036
129,28756.233638483845,32468.419316542157,35514.00789934036
130,28756.233638483845,32468.419316542157,35514.00789934036
131,29480.54114329643,33623.89830466877,36530.80648238323
132,29806.935952770793,33937.077363406206,36798.01271765419
133,29914.22617931012,34103.18991942917,37108.22624465063
134,29914.22617931012,34511.19982963583,37175.28681838608
135,30304.96093149979,34678.24076208957,37520.4212464642
136,30304.96093149979,34678.24076208957,37520.4212464642
137,29914.22617931012,34511.19982963583,37520.4212464642
138,29914.22617931012,34511.19982963583,37730.2705535791
139,30304.96093149979,34678.24076208957,37731.61813036919
140,30460.36222004456,34749.46345151965,37747.687563897256
141,30652.94436294602,35185.30445178436,38212.300805408435
142,30652.94436294602,35185.30445178436,38294.119569517774
143,31056.810868604807,35889.65079626,40502.02940566181
144,31056.810868604807,35889.65079626,40550.2548979718
145,31056.810868604807,35957.8835862693,40788.07653788822
146,31056.810868604807,36035.109245833686,40788.07653788822
147,31056.810868604807,36035.109245833686,40788.07653788822
148,31056.810868604807,36035.109245833686,40802.15385290361
149,30662.08430754376,35957.8835862693,40852.739548585196
150,30210.419748886274,35889.65079626,40866.48522212403
151,29999.788728008498,35660.94405503769,40866.48522212403
152,29997.67405143118,35398.36883474079,40802.15385290361
153,29997.52448087588,35304.308204827605,40802.15385290361
154,29898.610998711712,35199.39294639601,40621.40154976606
155,29898.610998711712,34919.303618770864,40187.715813001756
156,29603.76838325607,34906.46795494004,40108.47319247773
157,29603.76838325607,34906.46795494004,40108.47319247773
158,29520.943370255893,34690.30622024035,39945.04433013888
159,29488.351022349605,34655.63068279422,39820.761640848774
160,29390.85430924696,34405.6160045743,39451.17603997038
161,28840.70731803786,34025.34515653714,39250.97831166287
162,25077.108018074796,28941.027207980977,33110.22082983141
163,24929.964826149317,28941.027207980977,32994.96815761333
164,24851.96026751849,28941.027207980977,32408.35469033957
165,24844.41729498875,28941.027207980977,32317.06094828529
166,24731.082207020445,28941.027207980977,32304.758580163885
167,24688.566772760772,28975.438416467445,32178.739004097297
168,24686.060824483207,28975.438416467445,32101.151296389944
169,24686.060824483207,29073.712143585737,32101.151296389944
170,24686.060824483207,29073.712143585737,32101.151296389944
