Age (Ma),time,ridge_outflux_min,ridge_outflux_mean,ridge_outflux_max,subduction_outflux_min,subduction_outflux_mean,subduction_outflux_max,carbonate_platform_outflux_min,carbonate_platform_outflux_mean,carbonate_platform_outflux_max,rift_outflux_non_biased_min,rift_outflux_non_biased_mean,rift_outflux_non_biased_max,rift_outflux_biased_min,rift_outflux_biased_mean,rift_outflux_biased_max,intraplate_volcanism_outflux_min,intraplate_volcanism_outflux_mean,intraplate_volcanism_outflux_max,gross_atmospheric_outflux_no_rift_min,gross_atmospheric_outflux_no_rift_mean,gross_atmospheric_outflux_no_rift_max,gross_atmospheric_outflux_unbiased_rift_min,gross_atmospheric_outflux_unbiased_rift_mean,gross_atmospheric_outflux_unbiased_rift_max,gross_atmospheric_outflux_biased_rift_min,gross_atmospheric_outflux_biased_rift_mean,gross_atmospheric_outflux_biased_rift_max,net_atmospheric_influx_unbiased_and_sed_min,net_atmospheric_influx_unbiased_and_sed_mean,net_atmospheric_influx_unbiased_and_sed_max,net_atmospheric_influx_biased_and_sed_min,net_atmospheric_influx_biased_and_sed_mean,net_atmospheric_influx_biased_and_sed_max,gross_upper_plate_influx_with_sed_min,gross_upper_plate_influx_with_sed_mean,gross_upper_plate_influx_with_sed_max
0,0.0,10.137169948000825,13.321974810342496,16.506779672684168,16.5,16.5,19.252090765651687,66.46976534509676,87.48777505194842,107.63038876954202,13.0,14.5,16.0,13.0,14.5,16.0,3.0,6.0,9.0,96.10693529309759,123.30974986229091,152.38925920787787,109.10693529309759,137.80974986229091,168.38925920787787,109.10693529309759,137.80974986229091,168.38925920787787,-64.08991595987172,-31.424213110684974,4.513696021643966,-64.08991595987172,-31.424213110684974,4.513696021643966,165.27107469298247,169.2339629729759,174.59236275971787
1,1.0,10.38262159622744,13.58730305334458,16.791984510461717,17.50424647305986,17.50424647305986,20.49946378485233,68.91497873542896,87.48777505194842,107.63038876954202,13.0,14.5,16.0,13.0,14.5,16.0,3.0,6.0,9.0,99.80184680471626,124.57932457835287,153.92183706485608,112.80184680471626,139.07932457835287,169.92183706485608,112.80184680471626,139.07932457835287,169.92183706485608,-63.696646619747156,-33.425249103174195,2.8917650700827267,-63.696646619747156,-33.425249103174195,2.8917650700827267,168.5106539385907,172.50457368152706,177.97907536828077
2,2.0,10.38262159622744,13.58730305334458,16.791984510461717,17.50424647305986,17.50424647305986,20.17687807470111,68.91497873542896,87.48777505194842,107.63038876954202,13.0,14.5,16.0,13.0,14.5,16.0,3.0,6.0,9.0,99.80184680471626,124.57932457835287,153.59925135470485,112.80184680471626,139.07932457835287,169.59925135470485,112.80184680471626,139.07932457835287,169.59925135470485,-64.54674094352683,-34.17586560928788,1.890527812461528,-64.54674094352683,-34.17586560928788,1.890527812461528,169.1617926270384,173.25519018764075,178.80165683303818
3,3.0,10.462230788021891,13.637921913100929,16.81361303817996,17.52151869768308,17.52151869768308,20.16375688118145,68.91497873542896,87.63309399298177,111.10416239384423,13.0,14.5,16.0,13.0,14.5,16.0,3.0,6.0,9.0,99.89872822113394,124.79253460376577,157.08153231320563,112.89872822113394,139.29253460376577,173.08153231320563,112.89872822113394,139.29253460376577,173.08153231320563,-127.40695576881497,-97.0280890533605,-57.71050280271672,-127.40695576881497,-97.0280890533605,-57.71050280271672,232.33556332430365,236.32062365712628,241.8492121983302
4,4.0,10.473164142400222,13.637921913100929,16.81361303817996,16.51727222462322,16.51727222462322,19.313168193572313,68.91497873542896,92.204333870002,115.77512317236965,13.0,14.5,16.0,13.0,14.5,16.0,3.0,6.0,9.0,98.9054151024524,128.35952800772617,160.90190440412192,111.9054151024524,142.85952800772617,176.90190440412192,111.9054151024524,142.85952800772617,176.90190440412192,-128.93125544655288,-93.78731812676182,-54.19071096325385,-128.93125544655288,-93.78731812676182,-54.19071096325385,232.4570217199707,236.646846134488,242.2010769016002
5,5.0,10.473164142400222,13.637921913100929,16.81361303817996,16.07311405167598,16.07311405167598,18.651232984355797,69.38799620284993,98.68339847517952,121.53029443875847,13.0,14.5,16.0,13.0,14.5,16.0,3.0,6.0,9.0,98.93427439692613,134.39443443995643,165.99514046129423,111.93427439692613,148.89443443995643,181.99514046129423,111.93427439692613,148.89443443995643,181.99514046129423,-128.6029920819687,-87.4854928184869,-48.87936681126115,-128.6029920819687,-87.4854928184869,-48.87936681126115,232.22258803799184,236.37992725844333,241.88534724433129
6,6.0,10.473164142400222,13.637921913100929,16.81361303817996,15.65736065113772,15.65736065113772,18.292159906406123,72.16564199848071,100.92245012700737,123.85919903125496,17.302345862038894,19.298770384581843,21.29519490712479,17.302345862038894,19.298770384581843,21.29519490712479,3.0,6.0,9.0,101.29616679201865,136.217732691246,167.96497197584102,118.59851265405754,155.51650307582784,189.26016688296582,118.59851265405754,155.51650307582784,189.26016688296582,-120.31576151034619,-79.21042193728215,-39.98013596263698,-120.31576151034619,-79.21042193728215,-39.98013596263698,230.53957586181625,234.72692501311,240.21354718061718
7,7.0,10.587971794871455,13.759209940144116,16.93044808541678,15.411378780198214,15.411378780198214,18.10667770919118,72.16564199848071,102.0039546087372,124.50537374168228,17.302345862038894,19.298770384581843,21.29519490712479,17.302345862038894,19.298770384581843,21.29519490712479,3.0,6.0,9.0,101.16499257355038,137.17454332907954,168.54249953629022,118.46733843558927,156.47331371366138,189.83769444341502,118.46733843558927,156.47331371366138,189.83769444341502,-120.12135417090273,-77.98873423307239,-39.187077346959086,-120.12135417090273,-77.98873423307239,-39.187077346959086,230.33540328697555,234.46204794673378,239.89932410309345
8,8.0,10.84753051237613,14.10169255866403,17.313026590593662,15.061647438630244,15.061647438630244,17.75694636762321,72.35471365553478,102.0670013067988,125.84379125973928,17.302345862038894,19.298770384581843,21.29519490712479,17.302345862038894,19.298770384581843,21.29519490712479,3.0,6.0,9.0,101.26389160654115,137.2303413040931,169.91376421795616,118.56623746858004,156.52911168867493,191.20895912508095,118.56623746858004,156.52911168867493,191.20895912508095,-122.54514357210836,-80.22182064057114,-39.891851780417255,-122.54514357210836,-80.22182064057114,-39.891851780417255,232.39048361780374,236.75093232924607,242.40105375299393
9,9.0,11.08879677404108,14.200911682317372,17.355854604951926,14.590998191905033,14.590998191905033,17.346114951831552,72.35471365553478,102.0670013067988,125.84379125973928,17.302345862038894,19.298770384581843,21.29519490712479,17.302345862038894,19.298770384581843,21.29519490712479,3.0,6.0,9.0,101.0345086214809,136.8589111810212,169.54576081652277,118.33685448351979,156.15768156560304,190.84095572364757,118.33685448351979,156.15768156560304,190.84095572364757,-122.4237452397132,-80.36356364049757,-40.097044302513495,-122.4237452397132,-80.36356364049757,-40.097044302513495,232.28189068896825,236.52124520610062,242.10449038604017
10,10.0,11.264242816187672,14.325623501088334,17.387004185988996,13.627858051924193,13.627858051924193,16.44597988096751,72.35471365553478,102.0670013067988,125.84379125973928,17.890163076654748,19.954412662422605,22.01866224819046,17.890163076654748,19.954412662422605,22.01866224819046,3.0,6.0,9.0,100.24681452364665,136.02048285981132,168.67677532669578,118.13697760030139,155.97489552223394,190.69543757488623,118.13697760030139,155.97489552223394,190.69543757488623,-124.28369627883474,-82.2022902377442,-41.68209944622592,-124.28369627883474,-82.2022902377442,-41.68209944622592,233.93369764082013,238.17718575997813,243.9768344988441
11,11.0,11.326689822804214,14.43638081136005,17.546071799915886,13.713849438389477,13.713849438389477,16.531971267432795,72.35471365553478,102.0670013067988,125.84379125973928,17.890163076654748,19.954412662422605,22.01866224819046,17.890163076654748,19.954412662422605,22.01866224819046,3.0,6.0,9.0,100.39525291672848,136.2172315565483,168.92183432708796,118.28541599338322,156.17164421897093,190.94049657527842,118.28541599338322,156.17164421897093,190.94049657527842,-123.02536839717965,-80.91376134506044,-40.37325598900827,-123.02536839717965,-80.91376134506044,-40.37325598900827,232.86002673749985,237.08540556403136,242.85705856377604
12,12.0,11.730859258414554,14.81404342058492,17.897227582755285,12.834701600163063,12.834701600163063,15.652823429206379,72.35471365553478,102.0670013067988,125.84379125973928,17.890163076654748,19.954412662422605,22.01866224819046,17.890163076654748,19.954412662422605,22.01866224819046,3.0,6.0,9.0,99.9202745141124,135.71574632754678,168.39384227170095,117.81043759076715,155.6701589899694,190.4125045198914,117.81043759076715,155.6701589899694,190.4125045198914,-120.67767695271294,-78.59257672697919,-38.07857819731251,-120.67767695271294,-78.59257672697919,-38.07857819731251,230.03735689041707,234.26273571694858,240.03438871669326
13,13.0,11.75117982040044,14.839505870174593,17.927831919948755,12.264598070982673,12.264598070982673,15.067771345772359,72.62582089521277,102.0670013067988,125.84379125973928,17.890163076654748,19.954412662422605,22.01866224819046,17.890163076654748,19.954412662422605,22.01866224819046,3.0,6.0,9.0,99.64159878659588,135.17110524795606,167.8393945254604,117.53176186325062,155.12551791037868,189.85805677365084,117.53176186325062,155.12551791037868,189.85805677365084,-119.05825290775833,-77.24435809489825,-36.53237294553131,-119.05825290775833,-77.24435809489825,-36.53237294553131,228.1497372395449,232.36987600527692,238.3493222913717
14,14.0,11.974183093446474,15.205732739543285,18.437282385640092,12.096345420674481,12.096345420674481,14.875559697009555,76.96064538423856,102.0039546087372,125.84379125973928,17.890163076654748,19.954412662422605,22.01866224819046,17.890163076654748,19.954412662422605,22.01866224819046,3.0,6.0,9.0,104.03117389835951,135.30603276895496,168.15663334238891,121.92133697501426,155.26044543137758,190.17529559057937,121.92133697501426,155.26044543137758,190.17529559057937,-116.14677784323989,-78.44851652509482,-37.815986308342474,-116.14677784323989,-78.44851652509482,-37.815986308342474,229.34980909469064,233.7089619564724,239.42664201402295
15,15.0,12.41027216771491,15.66498518169198,18.91969819566905,11.520146023645951,11.520146023645951,14.23386925329207,78.19802701590622,102.0039546087372,125.84379125973928,17.890163076654748,19.954412662422605,22.01866224819046,17.890163076654748,19.954412662422605,22.01866224819046,3.0,6.0,9.0,105.12844520726708,135.18908581407513,167.9973587087004,123.01860828392182,155.14349847649774,190.01602095689086,123.01860828392182,155.14349847649774,190.01602095689086,-114.1558155301253,-77.59719468998478,-36.701640379797055,-114.1558155301253,-77.59719468998478,-36.701640379797055,228.3069625189179,232.74069316648252,238.76372499627712
16,16.0,12.467026129684449,15.78728846440466,19.092555208791953,11.085830169286483,11.085830169286483,13.509564757233232,78.19802701590622,102.0039546087372,125.84379125973928,17.890163076654748,19.954412662422605,22.01866224819046,17.890163076654748,19.954412662422605,22.01866224819046,3.0,6.0,9.0,104.75088331487714,134.87707324242834,167.44591122576446,122.64104639153189,154.83148590485095,189.4645734739549,122.64104639153189,154.83148590485095,189.4645734739549,-114.86119031602774,-78.13604431594942,-37.355207484502415,-114.86119031602774,-78.13604431594942,-37.355207484502415,228.4328237340411,232.96753022080037,239.1152794831434
