# Age_Ma	CCD_m
0	-4593
1	-4929
2	-5033
3	-5363
4	-5266
5	-4592
6	-4489
7	-4546
8	-4497
9	-4002
10	-4168
11	-3884
12	-3599
13	-4249
14	-4124
15	-4257
16	-3584
17	-3520
18	-3632
19	-3596
20	-4462
21	-4843
22	-4833
23	-4824
24	-4814
25	-4804
26	-4795
27	-4785
28	-4775
29	-4766
30	-4756
31	-4655
32	-4555
33	-4454
34	-4589
35	-4595
36	-4482
37	-4369
38	-4256
39	-4143
40	-4030
41	-4120
42	-4182
43	-4032
44	-3754
45	-3786
46	-4228
47	-4669
48	-4722
49	-3805
50	-3850
51	-4128
52	-4468
53	-4044
54	-3421
55	-3649
56	-3877
57	-3793
58	-3397
59	-3001
60	-3060
61	-3110
62	-3160
63	-3210
64	-3238
65	-3520
66	-3179
67	-3264
68	-3376
