# Age_Ma	Sea_level_m
0.000000	57.387309
0.100000	58.105027
0.200000	58.811290
0.300000	59.470194
0.400000	60.129673
0.500000	60.791173
0.600000	61.452845
0.700000	62.115040
0.800000	62.762156
0.900000	63.368501
1.000000	63.983774
1.100000	64.679404
1.200000	65.358205
1.300000	65.969691
1.400000	66.583952
1.500000	67.294021
1.600000	68.003642
1.700000	68.710694
1.800000	69.453249
1.900000	70.302310
2.000000	71.083607
2.100000	71.829996
2.200000	72.391233
2.300000	72.917202
2.400000	73.467764
2.500000	74.096125
2.600000	74.730875
2.700000	75.487020
2.800000	76.235890
2.900000	76.958885
3.000000	77.642800
3.100000	78.233500
3.200000	78.824200
3.300000	79.925974
3.400000	80.638285
3.500000	81.167197
3.600000	81.708872
3.700000	82.556864
3.800000	83.353764
3.900000	84.066123
4.000000	84.744310
4.100000	85.369682
4.200000	86.021773
4.300000	86.852674
4.400000	87.633872
4.500000	88.347980
4.600000	89.003801
4.700000	89.586029
4.800000	90.169579
4.900000	90.884029
5.000000	91.604571
5.100000	92.522061
5.200000	93.340454
5.300000	94.055928
5.400000	94.772320
5.500000	95.489556
5.600000	96.205385
5.700000	96.920111
5.800000	97.633217
5.900000	98.345247
6.000000	99.020239
6.100000	99.674398
6.200000	100.389709
6.300000	101.162914
6.400000	101.936137
6.500000	102.709367
6.600000	103.342018
6.700000	103.965118
6.800000	104.658752
6.900000	105.378473
7.000000	106.106581
7.100000	106.836434
7.200000	107.393836
7.300000	107.944052
7.400000	108.672095
7.500000	109.580191
7.600000	110.245680
7.700000	110.911168
7.800000	111.459574
7.900000	112.006798
8.000000	112.659737
8.100000	113.400655
8.200000	114.152997
8.300000	114.909146
8.400000	115.479755
8.500000	116.050363
8.600000	116.602496
8.700000	117.146491
8.800000	117.770949
8.900000	118.592404
9.000000	119.352364
9.100000	120.086937
9.200000	120.715059
9.300000	121.337578
9.400000	121.928855
9.500000	122.516271
9.600000	123.150958
9.700000	123.803745
9.800000	124.397808
9.900000	124.976261
10.000000	125.600037
10.100000	126.250432
10.200000	126.871191
10.300000	127.481020
10.400000	128.084107
10.500000	128.684709
10.600000	129.277859
10.700000	129.868242
10.800000	130.450439
10.900000	131.029552
11.000000	131.566941
11.100000	132.088235
11.200000	132.655214
11.300000	133.261109
11.400000	133.819294
11.500000	134.357610
11.600000	134.884820
11.700000	135.407151
11.800000	135.917859
11.900000	136.423125
12.000000	136.864214
12.100000	137.272967
12.200000	137.725787
12.300000	138.304027
12.400000	138.800007
12.500000	139.246845
12.600000	139.689709
12.700000	140.129960
12.800000	140.535790
12.900000	140.923085
13.000000	141.273368
13.100000	141.593523
13.200000	141.926148
13.300000	142.319655
13.400000	142.693390
13.500000	143.033457
13.600000	143.363659
13.700000	143.682159
13.800000	143.949434
13.900000	144.183957
14.000000	144.414654
14.100000	144.639219
14.200000	144.849654
14.300000	145.036032
14.400000	145.206776
14.500000	145.341502
14.600000	145.476229
14.700000	145.632637
14.800000	145.771740
14.900000	145.852497
15.000000	145.933254
15.100000	146.041516
15.200000	146.132425
15.300000	146.177886
15.400000	146.222123
15.500000	146.250997
15.600000	146.279318
15.700000	146.286684
15.800000	146.294049
15.900000	146.279077
16.000000	146.260387
16.100000	146.232595
16.200000	146.204802
16.300000	146.156903
16.400000	146.106277
16.500000	146.041115
16.600000	145.973034
16.700000	145.892180
16.800000	145.807839
16.900000	145.712618
17.000000	145.613556
17.100000	145.505244
17.200000	145.392840
17.300000	145.272910
17.400000	145.148929
17.500000	145.018577
17.600000	144.884037
17.700000	144.737196
17.800000	144.580653
17.900000	144.410424
18.000000	144.233854
18.100000	144.078846
18.200000	143.925461
18.300000	143.769787
18.400000	143.613624
18.500000	143.411484
18.600000	143.189711
18.700000	142.976559
18.800000	142.776790
18.900000	142.589685
19.000000	142.401769
19.100000	142.213373
19.200000	142.024177
19.300000	141.834705
19.400000	141.668317
19.500000	141.505754
19.600000	141.349791
19.700000	141.197380
19.800000	141.050679
19.900000	140.918225
20.000000	140.785771
20.100000	140.643039
20.200000	140.492165
20.300000	140.341287
20.400000	140.190387
20.500000	140.039486
20.600000	139.888741
20.700000	139.738047
20.800000	139.576261
20.900000	139.393880
21.000000	139.198729
21.100000	138.981192
21.200000	138.806763
21.300000	138.650810
21.400000	138.466947
21.500000	138.238609
21.600000	138.052277
21.700000	137.875798
21.800000	137.731266
21.900000	137.595745
22.000000	137.455937
22.100000	137.291833
22.200000	137.127730
22.300000	136.961267
22.400000	136.794784
22.500000	136.627763
22.600000	136.460667
22.700000	136.265829
22.800000	136.066686
22.900000	135.902845
23.000000	135.739005
23.100000	135.512329
23.200000	135.329580
23.300000	135.191037
23.400000	135.051274
23.500000	134.899057
23.600000	134.746840
23.700000	134.596827
23.800000	134.446996
23.900000	134.292424
24.000000	134.136336
24.100000	133.965527
24.200000	133.793594
24.300000	133.657264
24.400000	133.522246
24.500000	133.391886
24.600000	133.263039
24.700000	133.163310
24.800000	133.120372
24.900000	133.123436
25.000000	133.126500
25.100000	133.129564
25.200000	133.132628
25.300000	133.187183
25.400000	133.244128
25.500000	133.352108
25.600000	133.465401
25.700000	133.628469
25.800000	133.800004
25.900000	134.061431
26.000000	134.340249
26.100000	134.588914
26.200000	134.837578
26.300000	135.182165
26.400000	135.565417
26.500000	135.965888
26.600000	136.370664
26.700000	136.839678
26.800000	137.343647
26.900000	137.898078
27.000000	138.482128
27.100000	139.120467
27.200000	139.791285
27.300000	140.508656
27.400000	141.252607
27.500000	142.079755
27.600000	142.960093
27.700000	143.774562
27.800000	144.562234
27.900000	145.532207
28.000000	146.764516
28.100000	147.847715
28.200000	148.903443
28.300000	149.998436
28.400000	151.097055
28.500000	152.225224
28.600000	153.355459
28.700000	154.501517
28.800000	155.648797
28.900000	156.800515
29.000000	157.908019
29.100000	158.920523
29.200000	159.981212
29.300000	161.277165
29.400000	162.510722
29.500000	163.686025
29.600000	164.747966
29.700000	165.767978
29.800000	166.669067
29.900000	167.519902
30.000000	168.543783
30.100000	169.971435
30.200000	171.074402
30.300000	172.132061
30.400000	173.191179
30.500000	174.253873
30.600000	175.391487
30.700000	176.550292
30.800000	177.772449
30.900000	179.161287
31.000000	180.515735
31.100000	181.347475
31.200000	182.179214
31.300000	183.127451
31.400000	184.103757
31.500000	185.061798
31.600000	186.014472
31.700000	186.945296
31.800000	187.868241
31.900000	188.766413
32.000000	189.653513
32.100000	190.513730
32.200000	191.358858
32.300000	192.175966
32.400000	192.972972
32.500000	193.741994
32.600000	194.484704
32.700000	195.200858
32.800000	195.883073
32.900000	196.541803
33.000000	197.157297
33.100000	197.759805
33.200000	198.324061
