# Age_Ma	Sea_level_m
0.000000	0.000000
0.100000	0.848693
0.200000	-37.030280
0.300000	-79.588656
0.400000	-79.491750
0.500000	-79.394843
0.600000	-79.297936
0.700000	-79.201030
0.800000	-79.104123
0.900000	-79.007216
1.000000	-68.881250
1.100000	4.100909
1.200000	12.327340
1.300000	17.314041
1.400000	18.987455
1.500000	17.231115
1.600000	12.553268
1.700000	-24.679041
1.800000	-74.576101
1.900000	-78.280503
2.000000	-23.358637
2.100000	8.565478
2.200000	14.312366
2.300000	12.928721
2.400000	5.690667
2.500000	-66.035945
2.600000	-71.092384
2.700000	-61.940059
2.800000	-13.132811
2.900000	16.044818
3.000000	14.615358
3.100000	-52.962857
3.200000	-71.896364
3.300000	-72.360000
3.400000	-64.669000
3.500000	-4.881818
3.600000	41.503506
3.700000	50.341169
3.800000	54.981429
3.900000	47.950000
4.000000	26.333636
4.100000	-20.330000
4.200000	-27.158142
4.300000	-21.990000
4.400000	67.620000
4.500000	68.254130
4.600000	69.884565
4.700000	74.201429
4.800000	79.725464
4.900000	85.087640
5.000000	86.028643
5.100000	86.969646
5.200000	87.910649
5.300000	88.102748
5.400000	87.891591
5.500000	87.021576
5.600000	84.810535
5.700000	72.714332
5.800000	-12.451702
5.900000	-40.190863
6.000000	-41.208759
6.100000	-37.125058
6.200000	28.920165
6.300000	33.180172
6.400000	34.890726
6.500000	31.467339
6.600000	-11.019355
6.700000	-22.338440
6.800000	-24.699981
6.900000	-25.915283
7.000000	-21.841586
7.100000	-4.070371
7.200000	0.883881
7.300000	4.908756
7.400000	7.530043
7.500000	10.077457
7.600000	11.068436
7.700000	11.145318
7.800000	11.222200
7.900000	11.299082
8.000000	10.261414
8.100000	9.210280
8.200000	8.159146
8.300000	5.430052
8.400000	0.476684
8.500000	-5.409524
8.600000	-12.228571
8.700000	-17.488421
8.800000	-20.409474
8.900000	-22.322941
9.000000	-23.228824
9.100000	-24.134706
9.200000	-24.232583
9.300000	-24.287934
9.400000	-24.343284
9.500000	-24.398635
9.600000	-24.453985
9.700000	-22.428633
9.800000	-18.069934
9.900000	-10.712318
10.000000	-5.342105
10.100000	-1.982000
10.200000	-0.588667
10.300000	-0.590000
10.400000	-2.032000
10.500000	-9.813333
10.600000	-31.546667
10.700000	-55.005000
10.800000	-76.088571
10.900000	-77.800000
11.000000	-53.327273
11.100000	37.473778
11.200000	51.104839
11.300000	53.013077
11.400000	53.390000
11.500000	52.505385
11.600000	49.340787
11.700000	44.919935
11.800000	40.129085
11.900000	56.790000
12.000000	87.638824
12.100000	92.285516
12.200000	94.590448
12.300000	96.119112
12.400000	95.651657
12.500000	95.184201
12.600000	94.716746
12.700000	91.908125
12.800000	88.895294
12.900000	86.012941
13.000000	84.703333
13.100000	84.442222
13.200000	94.666636
13.300000	119.365333
13.400000	125.118667
13.500000	129.256120
13.600000	132.316321
13.700000	135.376522
13.800000	137.751299
13.900000	139.687855
14.000000	141.624411
14.100000	142.873333
14.200000	142.517778
14.300000	142.162222
14.400000	141.806667
14.500000	141.451111
14.600000	140.040392
14.700000	138.365882
14.800000	116.049474
14.900000	56.233704
15.000000	53.412716
15.100000	94.966410
15.200000	122.205714
15.300000	139.095000
15.400000	141.464286
15.500000	142.935714
15.600000	141.822000
15.700000	140.062000
15.800000	134.980000
15.900000	64.676667
16.000000	41.329655
16.100000	43.885000
16.200000	93.321364
16.300000	128.934000
16.400000	133.730592
16.500000	136.307812
16.600000	138.300000
16.700000	137.374380
16.800000	135.101611
16.900000	128.567143
17.000000	117.655714
17.100000	115.717500
17.200000	116.211481
17.300000	117.470741
17.400000	118.730000
17.500000	119.351451
17.600000	119.972902
17.700000	120.594353
17.800000	120.058897
17.900000	119.286483
18.000000	118.514069
18.100000	116.435232
18.200000	114.258063
18.300000	112.080894
18.400000	109.903724
18.500000	107.726555
18.600000	104.921709
18.700000	101.479929
18.800000	98.038148
18.900000	94.596368
19.000000	91.154587
19.100000	87.712807
19.200000	84.291124
19.300000	80.873796
19.400000	77.456467
19.500000	74.039139
19.600000	70.621810
19.700000	67.519921
19.800000	66.322817
19.900000	65.125712
20.000000	64.677524
20.100000	67.273531
20.200000	79.051359
20.300000	105.447799
20.400000	114.768117
20.500000	118.168072
20.600000	119.972058
