# Age_Ma	CCD_m
0.00	-4412.00
1.00	-4544.00
2.00	-4077.00
3.00	-4213.00
4.00	-4329.00
5.00	-4537.00
6.00	-4403.00
7.00	-4136.00
8.00	-4265.00
9.00	-4209.00
10.00	-4075.00
11.00	-4612.00
12.00	-4822.00
13.00	-4678.00
14.00	-4569.00
15.00	-4624.00
16.00	-4494.00
17.00	-4422.00
18.00	-4464.00
19.00	-4591.00
20.00	-4635.00
21.00	-4548.00
22.00	-4506.00
23.00	-4457.00
24.00	-4490.00
25.00	-4367.00
26.00	-4450.00
27.00	-4521.00
28.00	-4389.00
29.00	-4605.00
30.00	-4532.00
31.00	-4603.00
32.00	-4439.00
33.00	-4445.00
34.00	-4194.00
35.00	-3987.00
36.00	-3904.23
37.00	-3784.18
38.00	-3575.93
39.00	-4099.18
40.00	-3281.28
41.00	-4027.79
42.00	-3796.90
43.00	-3632.27
44.00	-3747.22
45.00	-3341.68
46.00	-3293.67
47.00	-3191.28
48.00	-3085.65
49.00	-3000.00
50.00	-2998.25
51.00	-2952.17
52.00	-2809.12
