time_Ma,Pacific_km2,Atlantic_km2,Indian_km2
70,184407719.68145895,39787784.64513861,71944801.1221971
65,182272824.0332983,41938209.61914614,72038357.13256645
60,179054477.71735543,43686973.786298156,72882105.58129849
55,176797905.3113141,45515357.91170587,72737032.56876653
50,173930735.60904503,48668897.03097441,72025975.48252818
45,172384265.5736336,51115286.05064757,71075258.21234971
40,169323640.2368928,53457375.58157,70468080.50426468
35,166388759.95074388,55827549.029035844,70275685.18904804
30,167803488.1901847,58055574.916326225,70040289.003016
25,170641201.04348218,59897982.17429519,60815111.98904833
20,164754583.96540746,62241485.9332863,64141146.229966566
15,162186271.5747136,63391170.30708806,61925314.77056019
10,161034184.59591827,66849122.86633958,63769284.31993636
5,157230433.229142,67905581.03135332,64067001.8963895
0,152470818.8040269,69985798.01844287,65108664.53050886
