Time (Ma),Pacific (million km²),Atlantic (million km²),Indian (million km²),Sum (million km²)
65,182.27282403329832,41.938209619146136,72.03835713256645,296.2493907850109
60,179.05447771735544,43.686973786298154,72.88210558129849,295.6235570849521
55,176.7979053113141,45.51535791170587,72.73703256876654,295.05029579178654
50,173.93073560904503,48.668897030974414,72.02597548252818,294.62560812254765
45,172.3842655736336,51.11528605064757,71.07525821234971,294.5748098366309
40,169.3236402368928,53.45737558157,70.46808050426468,293.2490963227275
35,166.3887599507439,55.82754902903584,70.27568518904803,292.4919941688278
30,167.8034881901847,58.05557491632622,70.040289003016,295.89935210952694
25,170.6412010434822,59.89798217429519,60.81511198904833,291.3542952068257
20,164.75458396540745,62.2414859332863,64.14114622996657,291.1372161286603
15,162.1862715747136,63.39117030708806,61.92531477056019,287.5027566523619
10,161.03418459591828,66.84912286633958,63.76928431993636,291.65259178219424
5,157.23043322914202,67.90558103135332,64.0670018963895,289.20301615688487
0,152.4708188040269,69.98579801844286,65.10866453050886,287.5652813529786
