# Age_Ma	Global_CCD_m	CCD_basin_min_m	CCD_basin_max_m
0	-4611	-4916	-4412
1	-4623	-4818	-4544
2	-4316	-4720	-4077
3	-4332	-4622	-4213
4	-4377	-4689	-4162
5	-4483	-4592	-4233
6	-4329	-4403	-4192
7	-4201	-4362	-4136
8	-4275	-4440	-4124
9	-4116	-4209	-3995
10	-4123	-4196	-4075
11	-4285	-4612	-3662
12	-4459	-4822	-3919
13	-4349	-4678	-3743
14	-4301	-4569	-3855
15	-4273	-4624	-3720
16	-4213	-4494	-3760
17	-4212	-4422	-3826
18	-4239	-4464	-3628
19	-4259	-4591	-3724
20	-4301	-4635	-3777
21	-4336	-4548	-3841
22	-4256	-4506	-3736
23	-4264	-4457	-3937
24	-4349	-4490	-4040
25	-4261	-4367	-4026
26	-4375	-4450	-4210
27	-4411	-4521	-4168
28	-4288	-4389	-4068
29	-4376	-4605	-3874
30	-4568	-4648	-4532
31	-4473	-4603	-4188
32	-4417	-4439	-4368
33	-4359	-4445	-4170
34	-4278	-4462	-4194
35	-4045	-4174	-3987
36	-4106	-4567	-3900
37	-3953	-4298	-3800
38	-3888	-4656	-3550
39	-4134	-4213	-4100
40	-3491	-4048	-3250
41	-3986	-4050	-3836
42	-4049	-4280	-3950
43	-3627	-3927	-3500
44	-3987	-4194	-3900
45	-3589	-4164	-3350
46	-3582	-4263	-3300
47	-3575	-4487	-3200
48	-3510	-4513	-3100
49	-3335	-4162	-3000
50	-3320	-4114	-3000
51	-3359	-4383	-2950
52	-3295	-4545	-2800
