# Age_Ma	N_basins	Global_CCD_m	Basin_min_m	Basin_max_m	Weighted_SD_m
0	3	-4611	-4916	-4412	219
1	3	-4623	-4817	-4544	112
2	3	-4316	-4719	-4077	272
3	3	-4332	-4625	-4213	168
4	3	-4377	-4689	-4162	186
5	3	-4482	-4591	-4233	135
6	3	-4331	-4403	-4192	86
7	3	-4202	-4362	-4136	90
8	3	-4274	-4437	-4124	105
9	3	-4116	-4209	-3995	103
10	3	-4121	-4196	-4075	52
11	3	-4285	-4612	-3662	394
12	3	-4454	-4822	-3919	415
13	3	-4349	-4678	-3743	391
14	3	-4301	-4569	-3855	311
15	3	-4274	-4624	-3720	403
16	3	-4213	-4494	-3762	325
17	3	-4212	-4422	-3826	251
18	3	-4234	-4464	-3628	332
19	3	-4265	-4591	-3752	376
20	3	-4303	-4635	-3777	385
21	3	-4333	-4548	-3841	283
22	3	-4258	-4506	-3736	314
23	3	-4264	-4457	-3937	229
24	2	-4350	-4490	-4041	208
25	2	-4272	-4367	-4061	142
26	2	-4375	-4450	-4209	112
27	2	-4411	-4521	-4168	164
28	2	-4288	-4389	-4068	149
29	2	-4376	-4605	-3874	339
30	2	-4564	-4634	-4532	48
31	2	-4474	-4603	-4192	191
32	2	-4417	-4439	-4368	33
33	2	-4362	-4445	-4180	123
34	2	-4274	-4450	-4194	119
35	2	-4054	-4201	-3987	99
36	2	-4084	-4487	-3904	269
37	2	-3985	-4437	-3784	301
38	2	-3869	-4533	-3576	441
39	2	-4127	-4190	-4099	42
40	2	-3509	-4035	-3281	346
41	2	-3986	-4028	-3889	64
42	2	-3928	-4236	-3797	201
43	2	-3722	-3934	-3632	138
44	2	-3870	-4162	-3747	190
45	2	-3586	-4173	-3342	379
46	2	-3565	-4220	-3294	422
47	2	-3539	-4384	-3191	542
48	2	-3497	-4503	-3086	643
49	2	-3369	-4278	-3000	579
50	2	-3322	-4126	-2998	511
51	2	-3356	-4368	-2952	639
52	2	-3298	-4532	-2809	777
