# Age_Ma	Global_CCD_m	CCD_basin_min_m	CCD_basin_max_m
0.0	-4611.0	-4916.0	-4412.0
1.0	-4543.2	-4818.0	-4394.2
2.0	-4396.8	-4720.0	-4227.8
3.0	-4339.2	-4663.2	-4166.2
4.0	-4392.2	-4648.0	-4192.5
5.0	-4418.0	-4569.0	-4205.0
6.0	-4335.5	-4440.0	-4188.2
7.0	-4251.5	-4391.8	-4147.0
8.0	-4216.8	-4362.8	-4094.7
9.0	-4157.5	-4263.5	-4047.2
10.0	-4161.8	-4303.2	-3951.8
11.0	-4288.0	-4560.5	-3829.5
12.0	-4388.0	-4733.5	-3810.8
13.0	-4364.5	-4686.8	-3815.0
14.0	-4306.0	-4610.0	-3793.2
15.0	-4265.0	-4577.8	-3763.8
16.0	-4227.8	-4508.5	-3766.5
17.0	-4219.0	-4450.5	-3760.0
18.0	-4237.2	-4485.2	-3701.5
19.0	-4264.5	-4570.2	-3713.2
20.0	-4299.2	-4602.2	-3779.8
21.0	-4307.2	-4559.2	-3798.8
22.0	-4278.0	-4504.2	-3812.5
23.0	-4283.2	-4477.5	-3912.5
24.0	-4305.8	-4451.0	-4010.8
25.0	-4311.5	-4418.5	-4075.5
26.0	-4355.5	-4447.0	-4153.5
27.0	-4371.2	-4470.2	-4153.5
28.0	-4340.8	-4476.0	-4044.5
29.0	-4402.0	-4561.8	-4087.0
30.0	-4496.2	-4626.0	-4281.5
31.0	-4482.8	-4573.2	-4319.0
32.0	-4416.5	-4481.5	-4273.5
33.0	-4353.2	-4447.8	-4225.5
34.0	-4240.0	-4385.8	-4136.2
35.0	-4118.5	-4344.2	-4017.0
36.0	-4052.5	-4401.5	-3896.8
37.0	-3975.0	-4454.8	-3762.5
38.0	-3965.7	-4455.8	-3750.0
39.0	-3911.7	-4282.5	-3750.0
40.0	-3775.5	-4089.7	-3609.0
41.0	-3878.0	-4107.0	-3718.0
42.0	-3927.8	-4134.2	-3809.0
43.0	-3822.5	-4082.0	-3712.5
44.0	-3797.5	-4119.8	-3662.5
45.0	-3686.8	-4196.2	-3475.0
46.0	-3582.0	-4294.2	-3287.5
47.0	-3560.5	-4437.5	-3200.0
48.0	-3482.5	-4418.8	-3100.0
49.0	-3375.0	-4237.8	-3025.0
50.0	-3333.5	-4193.2	-2987.5
51.0	-3333.2	-4356.2	-2925.0
52.0	-3295.0	-4545.0	-2800.0
