lag_Ma_sea_level_leads_CCD,r,r2,n,neff_ar1,p_ar1
-10,-0.5832305682924555,0.34015789579074057,43,3.0,0.6035768234948552
-9,-0.6466946768752743,0.4182140050988154,44,3.0,0.5523016027534403
-8,-0.6984074412288365,0.48777295396381065,45,3.0,0.5077847552797965
-7,-0.7261937681657804,0.5273573889228153,46,3.0,0.48257504370342114
-6,-0.7415780550881861,0.5499380117883768,47,3.0,0.46815538105058563
-5,-0.7539962743344724,0.5685103817102649,48,3.0,0.45624729375409667
-4,-0.7639463807979645,0.5836140727343085,49,3.0,0.44651835275185137
-3,-0.7824122317454415,0.6121689003848825,50,3.0,0.42797810259816554
-2,-0.8119851993788464,0.6593199640103049,51,3.0,0.3967739254178258
-1,-0.8410504264277564,0.7073658197943109,52,3.0,0.36387545728351295
0,-0.8609625998633654,0.7412565983634855,53,3.0,0.3397240449917914
1,-0.8579321130560459,0.7360475106128119,52,3.0,0.34349791637995264
2,-0.8465782977538028,0.7166948142277264,51,3.0,0.35731740207804524
3,-0.8310799020135355,0.6906938035308279,50,3.0,0.37544632917710463
4,-0.8094745503058147,0.655249047592801,49,3.0,0.3995041634737646
5,-0.7792458042709506,0.6072240234738806,48,3.0,0.43120473635321316
6,-0.7483640469397667,0.5600487467520653,47,3.0,0.4616792820129553
7,-0.7160314727527545,0.5127010699724786,46,3.0,0.49191337789220274
8,-0.6938972152246092,0.48149334529646765,45,3.0,0.5117843940904959
9,-0.6960528010124296,0.4844895017972489,44,3.0,0.5098758741964932
10,-0.710716459236017,0.5051178854289811,43,3.0,0.4967417960472922
