Age_Ma,Global_CCD_m,CCD_minus_dispersion_m,CCD_plus_dispersion_m,CCD_m_pos_down,Sea_level_m
0.0,-4611.0,-4829.0,-4392.0,4611.0,-4.62
1.0,-4543.2,-4721.8,-4364.5,4543.2,-12.509
2.0,-4396.8,-4602.2,-4191.0,4396.8,-9.176
3.0,-4339.2,-4536.8,-4141.2,4339.2,8.341
4.0,-4392.2,-4560.5,-4223.8,4392.2,12.103
5.0,-4418.0,-4553.8,-4282.2,4418.0,7.673
6.0,-4335.5,-4435.0,-4235.8,4335.5,2.881
7.0,-4251.5,-4344.2,-4158.0,4251.5,0.987
8.0,-4216.8,-4317.8,-4114.8,4216.8,-2.26
9.0,-4157.5,-4249.0,-4065.2,4157.5,-0.536
10.0,-4161.8,-4312.8,-4010.2,4161.8,8.867
11.0,-4288.0,-4600.8,-3974.8,4288.0,21.149
12.0,-4388.0,-4789.5,-3986.5,4388.0,30.241
13.0,-4364.5,-4740.5,-3989.0,4364.5,39.559
14.0,-4306.0,-4660.5,-3952.0,4306.0,57.296
15.0,-4265.0,-4626.5,-3904.0,4265.0,62.705
16.0,-4227.8,-4554.0,-3901.5,4227.8,61.856
17.0,-4219.0,-4508.5,-3929.2,4219.0,59.2
18.0,-4237.2,-4562.5,-3912.2,4237.2,45.266
19.0,-4264.5,-4636.8,-3892.8,4264.5,32.074
20.0,-4299.2,-4659.2,-3940.0,4299.2,30.463
21.0,-4307.2,-4623.8,-3991.5,4307.2,31.461
22.0,-4278.0,-4563.0,-3993.0,4278.0,34.446
23.0,-4283.2,-4528.5,-4037.7,4283.2,42.798
24.0,-4305.8,-4507.0,-4104.8,4305.8,49.874
25.0,-4311.5,-4470.8,-4152.8,4311.5,50.545
26.0,-4355.5,-4491.8,-4219.5,4355.5,46.969
27.0,-4371.2,-4518.2,-4224.2,4371.2,38.124
28.0,-4340.8,-4541.2,-4140.5,4340.8,28.993
29.0,-4402.0,-4622.5,-4182.0,4402.0,31.507
30.0,-4496.2,-4656.0,-4336.8,4496.2,34.211
31.0,-4482.8,-4600.5,-4364.8,4482.8,33.889
32.0,-4416.5,-4512.8,-4320.0,4416.5,33.797
33.0,-4353.2,-4456.0,-4250.2,4353.2,66.712
34.0,-4240.0,-4355.2,-4124.2,4240.0,102.719
35.0,-4118.5,-4269.8,-3967.2,4118.5,99.195
36.0,-4052.5,-4286.0,-3819.5,4052.5,85.95
37.0,-3975.0,-4294.8,-3655.8,3975.0,76.041
38.0,-3965.7,-4291.2,-3640.8,3965.7,75.294
39.0,-3911.7,-4157.0,-3667.0,3911.7,91.492
40.0,-3775.5,-3996.5,-3555.0,3775.5,102.285
41.0,-3878.0,-4056.5,-3699.8,3878.0,97.539
42.0,-3927.8,-4076.5,-3779.0,3927.8,90.78
43.0,-3822.5,-3991.5,-3653.8,3822.5,97.258
44.0,-3797.5,-4006.5,-3589.2,3797.5,99.022
45.0,-3686.8,-4015.5,-3358.8,3686.8,96.616
46.0,-3582.0,-4040.0,-3124.2,3582.0,95.114
47.0,-3560.5,-4122.8,-2998.2,3560.5,108.032
48.0,-3482.5,-4081.0,-2884.2,3482.5,130.621
49.0,-3375.0,-3925.0,-2825.8,3375.0,139.96
50.0,-3333.5,-3879.5,-2788.2,3333.5,141.196
51.0,-3333.2,-3979.5,-2687.0,3333.2,135.144
52.0,-3295.0,-4081.0,-2508.0,3295.0,131.535
