Sea level vs CCD regression summary (CCD positive-down)

RAW
          method     slope   intercept        r       r2      p_naive  n  neff_ar1    p_ar1 notes
             OLS -6.944017 4508.863128 -0.86106 0.741425 1.346322e-16 53       3.0 0.339602   raw
             RMA -8.064497 4571.666617 -0.86106 0.741425 1.346322e-16 53       3.0 0.339602   raw
             ODR -9.328952 4642.540000 -0.86106 0.741425 1.346322e-16 53       3.0 0.339602   raw
Theil-Sen_robust -6.287559 4560.820382 -0.86106 0.741425 1.346322e-16 53       3.0 0.339602   raw

DETRENDED
          method      slope     intercept        r       r2  p_naive  n  neff_ar1    p_ar1     notes
             OLS  -6.260747 -1.315185e-12 -0.52453 0.275132 0.000055 53  6.381713 0.261046 detrended
             RMA -11.935920 -1.356271e-12 -0.52453 0.275132 0.000055 53  6.381713 0.261046 detrended
             ODR -22.639844 -1.315185e-12 -0.52453 0.275132 0.000055 53  6.381713 0.261046 detrended
Theil-Sen_robust  -5.844965 -1.788116e+01 -0.52453 0.275132 0.000055 53  6.381713 0.261046 detrended

FIRST DIFFERENCE
          method      slope  intercept         r       r2  p_naive  n  neff_ar1    p_ar1            notes
             OLS  -0.993120 -22.649649 -0.171614 0.029451 0.223796 52 32.753244 0.341565 first-difference
             RMA  -5.786930 -10.097704 -0.171614 0.029451 0.223796 52 32.753244 0.341565 first-difference
             ODR -32.742736  60.482452 -0.171614 0.029451 0.223796 52 32.753244 0.341565 first-difference
Theil-Sen_robust  -0.908078 -31.942209 -0.171614 0.029451 0.223796 52 32.753244 0.341565 first-difference

BOOTSTRAP 95% CI (raw)
          method parameter        p2.5      median       p97.5
             ODR     slope  -13.069156   -9.523899   -6.768943
             ODR intercept 4459.271542 4667.478818 4952.479446
             ODR         r   -0.935626   -0.809390   -0.223543
             ODR        r2    0.068006    0.655112    0.875395
             OLS     slope   -9.474659   -6.152574   -0.912401
             OLS intercept 4321.843785 4471.417777 4725.812586
             OLS         r   -0.935626   -0.809390   -0.223543
             OLS        r2    0.068006    0.655112    0.875395
             RMA     slope  -10.331448   -7.578886   -3.814026
             RMA intercept 4397.372967 4552.238888 4800.524373
             RMA         r   -0.935626   -0.809390   -0.223543
             RMA        r2    0.068006    0.655112    0.875395
Theil-Sen_robust     slope   -9.337732   -5.164818   -0.490435
Theil-Sen_robust intercept 4304.927389 4503.536658 4819.319165
Theil-Sen_robust         r   -0.935626   -0.809390   -0.223543
Theil-Sen_robust        r2    0.068006    0.655112    0.875395
