# Age_Ma	Predicted_CCD_m	Lo95_m	Hi95_m
0.000	-4608.925	-4763.900	-4453.949
1.000	-4672.545	-4827.521	-4517.570
2.000	-4645.666	-4800.642	-4490.691
3.000	-4504.401	-4659.376	-4349.425
4.000	-4474.062	-4629.037	-4319.087
5.000	-4509.788	-4664.763	-4354.812
6.000	-4548.433	-4703.408	-4393.458
7.000	-4563.707	-4718.682	-4408.732
8.000	-4589.892	-4744.868	-4434.917
9.000	-4575.989	-4730.964	-4421.014
10.000	-4500.159	-4655.134	-4345.183
11.000	-4401.111	-4556.086	-4246.135
12.000	-4327.788	-4482.763	-4172.813
13.000	-4252.643	-4407.618	-4097.668
14.000	-4109.603	-4264.579	-3954.628
15.000	-4065.982	-4220.958	-3911.007
16.000	-4072.829	-4227.804	-3917.854
17.000	-4094.248	-4249.224	-3939.273
18.000	-4206.619	-4361.594	-4051.644
19.000	-4313.006	-4467.981	-4158.031
20.000	-4325.998	-4480.973	-4171.023
21.000	-4317.949	-4472.925	-4162.974
22.000	-4293.877	-4448.852	-4138.902
23.000	-4226.522	-4381.498	-4071.547
24.000	-4169.458	-4324.433	-4014.483
25.000	-4164.047	-4319.022	-4009.071
26.000	-4192.885	-4347.861	-4037.910
27.000	-4264.216	-4419.191	-4109.240
28.000	-4337.853	-4492.828	-4182.877
29.000	-4317.579	-4472.554	-4162.603
30.000	-4295.772	-4450.747	-4140.797
31.000	-4298.369	-4453.344	-4143.394
32.000	-4299.111	-4454.086	-4144.136
33.000	-4033.668	-4188.643	-3878.693
34.000	-3743.290	-3898.265	-3588.314
35.000	-3771.709	-3926.684	-3616.734
36.000	-3878.523	-4033.498	-3723.548
37.000	-3958.434	-4113.410	-3803.459
38.000	-3964.458	-4119.434	-3809.483
39.000	-3833.830	-3988.805	-3678.854
40.000	-3746.790	-3901.765	-3591.814
41.000	-3785.064	-3940.039	-3630.088
42.000	-3839.572	-3994.547	-3684.596
43.000	-3787.330	-3942.305	-3632.355
44.000	-3773.104	-3928.079	-3618.129
45.000	-3792.507	-3947.482	-3637.532
46.000	-3804.620	-3959.595	-3649.645
47.000	-3700.443	-3855.418	-3545.468
48.000	-3518.274	-3673.249	-3363.299
49.000	-3442.960	-3597.935	-3287.984
50.000	-3432.992	-3587.967	-3278.017
51.000	-3481.798	-3636.774	-3326.823
52.000	-3510.903	-3665.878	-3355.928
53.000	-3439.371	-3594.346	-3284.396
54.000	-3404.307	-3559.282	-3249.331
55.000	-3485.540	-3640.515	-3330.565
56.000	-3575.290	-3730.265	-3420.315
57.000	-3456.379	-3611.354	-3301.404
58.000	-3421.040	-3576.016	-3266.065
59.000	-3492.669	-3647.645	-3337.694
60.000	-3468.516	-3623.491	-3313.541
61.000	-3374.008	-3528.984	-3219.033
62.000	-3247.767	-3402.742	-3092.791
63.000	-3118.170	-3273.145	-2963.195
64.000	-3107.235	-3262.210	-2952.259
65.000	-3106.009	-3260.984	-2951.034
66.000	-3050.170	-3205.146	-2895.195
67.000	-2937.396	-3092.372	-2782.421
68.000	-2922.784	-3077.759	-2767.808
69.000	-2884.582	-3039.557	-2729.607
70.000	-2837.268	-2992.243	-2682.292
71.000	-2801.695	-2956.670	-2646.720
72.000	-2785.405	-2940.380	-2630.430
73.000	-2784.453	-2939.428	-2629.478
74.000	-2782.905	-2937.880	-2627.930
75.000	-2755.977	-2910.953	-2601.002
76.000	-2742.429	-2897.404	-2587.454
77.000	-2736.679	-2891.654	-2581.704
