# Age_Ma	CCD_m  (closed uncertainty-envelope polygon)
0.000000	-4829.000000
1.000000	-4721.800000
2.000000	-4602.200000
3.000000	-4536.800000
4.000000	-4560.500000
5.000000	-4553.800000
6.000000	-4435.000000
7.000000	-4344.200000
8.000000	-4317.800000
9.000000	-4249.000000
10.000000	-4312.800000
11.000000	-4600.800000
12.000000	-4789.500000
13.000000	-4740.500000
14.000000	-4660.500000
15.000000	-4626.500000
16.000000	-4554.000000
17.000000	-4508.500000
18.000000	-4562.500000
19.000000	-4636.800000
20.000000	-4659.200000
21.000000	-4623.800000
22.000000	-4563.000000
23.000000	-4528.500000
24.000000	-4507.000000
25.000000	-4470.800000
26.000000	-4491.800000
27.000000	-4518.200000
28.000000	-4541.200000
29.000000	-4622.500000
30.000000	-4656.000000
31.000000	-4600.500000
32.000000	-4512.800000
33.000000	-4456.000000
34.000000	-4355.200000
35.000000	-4269.800000
36.000000	-4286.000000
37.000000	-4294.800000
38.000000	-4291.200000
39.000000	-4157.000000
40.000000	-3996.500000
41.000000	-4056.500000
42.000000	-4076.500000
43.000000	-3991.500000
44.000000	-4006.500000
45.000000	-4015.500000
46.000000	-4040.000000
47.000000	-4122.800000
48.000000	-4081.000000
49.000000	-3925.000000
50.000000	-3879.500000
51.000000	-3979.500000
52.000000	-4081.000000
53.000000	-3824.149500
54.000000	-3567.299000
55.000000	-3647.812000
56.000000	-3736.765000
57.000000	-3618.909000
58.000000	-3583.884000
59.000000	-3654.877000
60.000000	-3630.939000
61.000000	-3537.269000
62.000000	-3412.148000
63.000000	-3283.701000
64.000000	-3272.863000
65.000000	-3271.648000
66.000000	-3218.263000
67.000000	-3106.162000
68.000000	-3090.168000
69.000000	-3052.194000
70.000000	-3005.379000
71.000000	-2971.026000
72.000000	-2953.337000
73.000000	-2944.689000
74.000000	-2934.394000
75.000000	-2924.011000
76.000000	-2912.358000
77.000000	-2904.724000
78.000000	-2919.048000
79.000000	-2954.249000
80.000000	-2963.664000
81.000000	-2974.982000
82.000000	-2985.205000
83.000000	-3005.387000
84.000000	-3024.682000
85.000000	-3043.146000
86.000000	-3053.649000
87.000000	-3047.262000
88.000000	-3028.551000
89.000000	-2982.152000
90.000000	-2908.081000
91.000000	-2852.906000
92.000000	-2750.109000
93.000000	-2714.093000
94.000000	-2736.034000
95.000000	-2790.625000
96.000000	-2879.427000
97.000000	-2913.469000
98.000000	-2913.589000
99.000000	-2891.248000
100.000000	-2889.778000
101.000000	-2893.670000
102.000000	-2927.800000
103.000000	-3104.995000
104.000000	-3189.297000
105.000000	-3275.085000
106.000000	-3341.842000
107.000000	-3433.609000
108.000000	-3493.836000
109.000000	-3544.215000
110.000000	-3580.064000
111.000000	-3592.884000
112.000000	-3602.516000
113.000000	-3626.758000
114.000000	-3644.982000
115.000000	-3653.662000
116.000000	-3637.827000
117.000000	-3625.684000
118.000000	-3595.525000
119.000000	-3561.809000
120.000000	-3544.758000
121.000000	-3487.008000
122.000000	-3433.853000
123.000000	-3378.412000
124.000000	-3370.689000
125.000000	-3364.685000
126.000000	-3284.442000
127.000000	-3228.978000
128.000000	-3193.367000
129.000000	-3152.922000
130.000000	-3125.448000
131.000000	-3131.161000
132.000000	-3218.291000
133.000000	-3388.067000
134.000000	-3447.765000
135.000000	-3545.724000
136.000000	-3635.052000
137.000000	-3686.485000
138.000000	-3640.867000
139.000000	-3550.401000
140.000000	-3414.488000
141.000000	-3354.731000
142.000000	-3355.161000
143.000000	-3351.650000
144.000000	-3374.996000
145.000000	-3364.923000
146.000000	-3314.262000
147.000000	-3208.107000
148.000000	-3085.341000
149.000000	-3004.755000
150.000000	-2922.482000
151.000000	-2863.804000
152.000000	-2833.421000
153.000000	-2820.527000
154.000000	-2829.326000
155.000000	-2849.850000
156.000000	-2881.188000
157.000000	-2959.126000
158.000000	-3040.764000
159.000000	-3116.008000
160.000000	-3227.172000
161.000000	-3284.655000
162.000000	-3312.653000
163.000000	-3301.573000
164.000000	-3261.287000
165.000000	-3201.898000
166.000000	-3173.977000
167.000000	-3227.952000
168.000000	-3358.307000
169.000000	-3366.394000
170.000000	-3255.602000
171.000000	-3190.050000
172.000000	-3255.958000
173.000000	-3352.999000
174.000000	-3311.922000
175.000000	-3162.452000
176.000000	-3024.620000
177.000000	-2905.268000
178.000000	-2827.847000
179.000000	-2803.243000
180.000000	-2828.091000
181.000000	-2893.871000
182.000000	-3159.387000
183.000000	-3369.735000
184.000000	-3331.096000
185.000000	-3236.290000
186.000000	-3108.721000
187.000000	-3017.520000
188.000000	-2975.611000
189.000000	-2965.091000
190.000000	-3030.479000
191.000000	-3046.424000
192.000000	-3016.449000
193.000000	-3035.318000
194.000000	-3097.717000
195.000000	-3122.094000
196.000000	-3266.717000
197.000000	-3338.947000
198.000000	-3359.951000
199.000000	-3332.070000
200.000000	-3282.752000
201.000000	-3218.095000
202.000000	-3122.202000
203.000000	-3082.899000
204.000000	-3105.014000
205.000000	-3182.472000
205.000000	-2875.164000
204.000000	-2797.706000
203.000000	-2775.591000
202.000000	-2814.894000
201.000000	-2910.787000
200.000000	-2975.444000
199.000000	-3024.762000
198.000000	-3052.643000
197.000000	-3031.639000
196.000000	-2959.409000
195.000000	-2814.786000
194.000000	-2790.409000
193.000000	-2728.010000
192.000000	-2709.140000
191.000000	-2739.116000
190.000000	-2723.171000
189.000000	-2657.783000
188.000000	-2668.303000
187.000000	-2710.212000
186.000000	-2801.413000
185.000000	-2928.982000
184.000000	-3023.788000
183.000000	-3062.427000
182.000000	-2852.079000
181.000000	-2586.563000
180.000000	-2520.783000
179.000000	-2495.935000
178.000000	-2520.539000
177.000000	-2597.960000
176.000000	-2717.312000
175.000000	-2855.144000
174.000000	-3004.613000
173.000000	-3045.691000
172.000000	-2948.650000
171.000000	-2882.742000
170.000000	-2948.294000
169.000000	-3059.086000
168.000000	-3050.999000
167.000000	-2920.643000
166.000000	-2866.669000
165.000000	-2894.590000
164.000000	-2953.979000
163.000000	-2994.265000
162.000000	-3005.345000
161.000000	-2977.347000
160.000000	-2919.864000
159.000000	-2808.700000
158.000000	-2733.456000
157.000000	-2651.818000
156.000000	-2573.880000
155.000000	-2542.542000
154.000000	-2522.018000
153.000000	-2513.219000
152.000000	-2526.113000
151.000000	-2556.496000
150.000000	-2615.174000
149.000000	-2697.447000
148.000000	-2778.033000
147.000000	-2900.799000
146.000000	-3006.954000
145.000000	-3057.615000
144.000000	-3067.688000
143.000000	-3044.342000
142.000000	-3047.853000
141.000000	-3047.423000
140.000000	-3107.180000
139.000000	-3243.093000
138.000000	-3333.559000
137.000000	-3379.176000
136.000000	-3327.744000
135.000000	-3238.416000
134.000000	-3140.457000
133.000000	-3080.759000
132.000000	-2910.983000
131.000000	-2823.853000
130.000000	-2818.140000
129.000000	-2845.613000
128.000000	-2886.059000
127.000000	-2921.670000
126.000000	-2977.134000
125.000000	-3057.377000
124.000000	-3063.381000
123.000000	-3071.104000
122.000000	-3126.545000
121.000000	-3179.700000
120.000000	-3237.450000
119.000000	-3254.501000
118.000000	-3288.217000
117.000000	-3318.376000
116.000000	-3330.519000
115.000000	-3346.354000
114.000000	-3337.674000
113.000000	-3319.450000
112.000000	-3295.208000
111.000000	-3285.576000
110.000000	-3272.755000
109.000000	-3236.907000
108.000000	-3186.528000
107.000000	-3126.301000
106.000000	-3034.534000
105.000000	-2967.777000
104.000000	-2881.989000
103.000000	-2797.687000
102.000000	-2620.492000
101.000000	-2586.362000
100.000000	-2582.470000
99.000000	-2583.940000
98.000000	-2606.280000
97.000000	-2606.161000
96.000000	-2572.119000
95.000000	-2483.317000
94.000000	-2428.725000
93.000000	-2406.785000
92.000000	-2442.801000
91.000000	-2545.598000
90.000000	-2600.773000
89.000000	-2674.844000
88.000000	-2721.243000
87.000000	-2739.954000
86.000000	-2746.341000
85.000000	-2735.838000
84.000000	-2717.374000
83.000000	-2698.079000
82.000000	-2677.897000
81.000000	-2667.674000
80.000000	-2656.356000
79.000000	-2646.941000
78.000000	-2611.740000
77.000000	-2597.416000
76.000000	-2605.050000
75.000000	-2616.703000
74.000000	-2627.086000
73.000000	-2637.381000
72.000000	-2646.029000
71.000000	-2663.718000
70.000000	-2698.071000
69.000000	-2744.886000
68.000000	-2782.860000
67.000000	-2798.854000
66.000000	-2910.955000
65.000000	-2964.340000
64.000000	-2965.555000
63.000000	-2976.393000
62.000000	-3104.840000
61.000000	-3229.961000
60.000000	-3323.630000
59.000000	-3347.569000
58.000000	-3276.576000
