time_Ma,input_lon,input_lat,reconstructed_lon,reconstructed_lat,carrier_plate_id,plate_id_at_time
0,80.0,-10.0,80.0,-10.0,511,511
1,80.0,-10.0,79.68777286240014,-10.492451343440473,511,511
2,80.0,-10.0,79.37166255942907,-10.983178212286276,511,511
3,80.0,-10.0,79.05162246775679,-11.47213582388419,511,511
4,80.0,-10.0,78.72760512730027,-11.959278544793278,511,511
5,80.0,-10.0,78.3995622607075,-12.444559872353203,511,511
6,80.0,-10.0,78.06744479452442,-12.927932416205353,511,511
7,80.0,-10.0,77.7312028821628,-13.409347879790545,511,511
8,80.0,-10.0,77.39078592879233,-13.888757041849278,511,511
9,80.0,-10.0,77.04614261828397,-14.36610973795292,511,511
10,80.0,-10.0,76.69722094233657,-14.841354842096914,511,511
11,80.0,-10.0,76.3468080025913,-15.308779548663018,511,511
12,80.0,-10.0,75.97871801839253,-15.79926373665186,511,511
13,80.0,-10.0,75.60654180813488,-16.287666348238087,511,511
14,80.0,-10.0,75.23021495325288,-16.77393898466191,511,511
15,80.0,-10.0,74.84967226282507,-17.258032193375705,511,511
16,80.0,-10.0,74.46484779930242,-17.739895447006703,511,511
17,80.0,-10.0,74.07567490702105,-18.219477122314125,511,511
18,80.0,-10.0,73.68208624367367,-18.696724479180848,511,511
19,80.0,-10.0,73.2840138149207,-19.171583639683092,511,511
20,80.0,-10.0,72.88138901232902,-19.643999567285963,511,511
21,80.0,-10.0,72.49502641299225,-20.089462862796786,511,801
22,80.0,-10.0,72.1056182677954,-20.52803200863521,511,801
23,80.0,-10.0,71.71025057207822,-20.96326281519859,511,801
24,80.0,-10.0,71.30887512719825,-21.39507500055199,511,801
25,80.0,-10.0,70.90144433626428,-21.82338702108219,511,801
26,80.0,-10.0,70.48791132734782,-22.248116068318723,511,801
27,80.0,-10.0,70.06823008254509,-22.66917806776099,511,801
28,80.0,-10.0,69.64235557299614,-23.08648767985365,511,801
29,80.0,-10.0,69.21024389995101,-23.499958303257007,511,801
30,80.0,-10.0,68.77185244195319,-23.90950208056399,511,801
31,80.0,-10.0,68.33164931586488,-24.30636282130676,511,801
32,80.0,-10.0,67.88513329641232,-24.69910393874027,511,801
33,80.0,-10.0,67.43227145781313,-25.087635215199114,511,801
34,80.0,-10.0,66.90656082080021,-25.376161845840034,511,801
35,80.0,-10.0,66.37035343481398,-25.65167541447905,511,801
36,80.0,-10.0,65.83118983965588,-25.92487887959981,511,801
37,80.0,-10.0,65.28905244399313,-26.195737117835154,511,801
38,80.0,-10.0,64.7439244313409,-26.46421472695234,511,801
39,80.0,-10.0,64.1957897957264,-26.730276033259205,511,801
40,80.0,-10.0,63.644633378014596,-26.993885099562586,511,801
41,80.0,-10.0,63.34574199500926,-27.31795949101817,511,801
42,80.0,-10.0,63.07705255086368,-27.657141965481255,511,801
43,80.0,-10.0,62.703137853421474,-27.976112451366642,511,801
44,80.0,-10.0,62.24814091471304,-28.295981885601115,511,501
45,80.0,-10.0,61.88634858571393,-28.700069734952354,511,501
