Age_Ma,volume_1e6km3_mean,area_1e6km2_mean,volume_1e6km3_min,area_1e6km2_min,volume_1e6km3_max,area_1e6km2_max
0,0.0391,0.0003,0.0348,0.0003,0.0435,0.0003
1,0.0386,0.0003,0.0343,0.0003,0.0429,0.0003
2,0.0382,0.0003,0.0339,0.0003,0.0424,0.0003
3,0.0376,0.0003,0.0335,0.0003,0.0418,0.0003
4,0.0372,0.0003,0.0331,0.0003,0.0413,0.0003
5,0.0366,0.0003,0.0325,0.0003,0.0406,0.0003
6,0.0362,0.0003,0.0322,0.0003,0.0402,0.0003
7,0.0356,0.0003,0.0316,0.0003,0.0395,0.0003
8,0.0351,0.0003,0.0312,0.0003,0.0389,0.0003
9,0.0345,0.0003,0.0307,0.0003,0.0384,0.0003
10,0.0340,0.0003,0.0303,0.0003,0.0378,0.0003
11,0.0336,0.0003,0.0299,0.0003,0.0373,0.0003
12,0.0329,0.0003,0.0293,0.0003,0.0366,0.0003
13,0.0323,0.0003,0.0287,0.0003,0.0358,0.0003
14,0.0317,0.0003,0.0282,0.0003,0.0352,0.0003
15,0.0312,0.0003,0.0277,0.0003,0.0346,0.0003
16,0.0307,0.0003,0.0273,0.0003,0.0341,0.0003
17,0.0301,0.0003,0.0268,0.0003,0.0335,0.0003
18,0.0295,0.0003,0.0263,0.0003,0.0328,0.0003
19,0.0290,0.0003,0.0258,0.0003,0.0322,0.0003
20,0.0284,0.0003,0.0253,0.0003,0.0316,0.0003
21,0.0280,0.0003,0.0249,0.0003,0.0311,0.0003
22,0.0274,0.0003,0.0244,0.0003,0.0304,0.0003
23,0.0268,0.0003,0.0238,0.0003,0.0297,0.0003
24,0.0262,0.0003,0.0233,0.0003,0.0291,0.0003
25,0.0256,0.0003,0.0228,0.0003,0.0284,0.0003
26,0.0250,0.0003,0.0222,0.0003,0.0277,0.0003
27,0.0243,0.0003,0.0216,0.0003,0.0270,0.0003
28,0.0237,0.0003,0.0211,0.0003,0.0263,0.0003
29,0.0230,0.0003,0.0205,0.0003,0.0256,0.0003
30,0.0224,0.0003,0.0199,0.0003,0.0248,0.0003
31,0.0220,0.0003,0.0195,0.0003,0.0244,0.0003
32,0.0213,0.0003,0.0190,0.0003,0.0237,0.0003
33,0.0208,0.0003,0.0185,0.0003,0.0230,0.0003
34,0.0202,0.0003,0.0180,0.0003,0.0225,0.0003
35,0.0198,0.0003,0.0176,0.0003,0.0219,0.0003
36,0.0193,0.0003,0.0172,0.0003,0.0214,0.0003
37,0.0188,0.0003,0.0167,0.0003,0.0209,0.0003
38,0.0184,0.0003,0.0163,0.0003,0.0204,0.0003
39,0.0179,0.0003,0.0160,0.0003,0.0199,0.0003
40,0.0175,0.0003,0.0156,0.0003,0.0194,0.0003
41,0.0171,0.0003,0.0153,0.0003,0.0190,0.0003
42,0.0167,0.0003,0.0148,0.0003,0.0185,0.0003
43,0.0162,0.0003,0.0144,0.0003,0.0180,0.0003
44,0.0159,0.0003,0.0141,0.0003,0.0176,0.0003
45,0.0156,0.0003,0.0139,0.0003,0.0173,0.0003
46,0.0153,0.0003,0.0136,0.0003,0.0170,0.0003
47,0.0147,0.0003,0.0131,0.0003,0.0163,0.0003
48,0.0144,0.0003,0.0129,0.0003,0.0160,0.0003
49,0.0142,0.0003,0.0127,0.0003,0.0158,0.0003
50,0.0140,0.0003,0.0125,0.0003,0.0156,0.0003
51,0.0141,0.0003,0.0125,0.0003,0.0156,0.0003
52,0.0141,0.0003,0.0125,0.0003,0.0156,0.0003
53,0.0138,0.0003,0.0123,0.0003,0.0153,0.0003
54,0.0135,0.0003,0.0120,0.0003,0.0150,0.0003
55,0.0132,0.0003,0.0118,0.0003,0.0146,0.0003
56,0.0130,0.0003,0.0116,0.0003,0.0144,0.0003
57,0.0128,0.0003,0.0114,0.0003,0.0142,0.0003
58,0.0126,0.0003,0.0112,0.0003,0.0140,0.0003
59,0.0123,0.0003,0.0110,0.0003,0.0137,0.0003
60,0.0121,0.0003,0.0108,0.0003,0.0134,0.0003
61,0.0118,0.0003,0.0106,0.0003,0.0131,0.0003
62,0.0118,0.0003,0.0105,0.0003,0.0131,0.0003
63,0.0116,0.0003,0.0103,0.0003,0.0129,0.0003
64,0.0114,0.0003,0.0102,0.0003,0.0127,0.0003
65,0.0113,0.0003,0.0100,0.0003,0.0125,0.0003
66,0.0111,0.0003,0.0099,0.0003,0.0124,0.0003
67,0.0110,0.0003,0.0098,0.0003,0.0122,0.0003
68,0.0109,0.0003,0.0097,0.0003,0.0121,0.0003
69,0.0108,0.0003,0.0096,0.0003,0.0120,0.0003
70,0.0107,0.0003,0.0096,0.0003,0.0119,0.0003
71,0.0106,0.0003,0.0095,0.0003,0.0118,0.0003
72,0.0105,0.0003,0.0094,0.0003,0.0117,0.0003
73,0.0104,0.0003,0.0093,0.0003,0.0116,0.0003
74,0.0104,0.0003,0.0092,0.0003,0.0115,0.0003
75,0.0103,0.0003,0.0092,0.0003,0.0114,0.0003
76,0.0103,0.0003,0.0091,0.0003,0.0114,0.0003
77,0.0102,0.0003,0.0091,0.0003,0.0113,0.0003
78,0.0101,0.0003,0.0090,0.0003,0.0112,0.0003
79,0.0101,0.0003,0.0090,0.0003,0.0111,0.0003
80,0.0100,0.0003,0.0089,0.0003,0.0111,0.0003
81,0.0099,0.0003,0.0089,0.0003,0.0110,0.0003
82,0.0099,0.0003,0.0088,0.0003,0.0109,0.0003
83,0.0098,0.0003,0.0088,0.0003,0.0109,0.0003
84,0.0099,0.0003,0.0089,0.0003,0.0110,0.0003
85,0.0099,0.0003,0.0088,0.0003,0.0110,0.0003
86,0.0098,0.0003,0.0087,0.0003,0.0109,0.0003
87,0.0097,0.0003,0.0087,0.0003,0.0108,0.0003
88,0.0097,0.0003,0.0087,0.0003,0.0108,0.0003
89,0.0096,0.0003,0.0086,0.0003,0.0107,0.0003
90,0.0095,0.0003,0.0085,0.0003,0.0106,0.0003
91,0.0095,0.0003,0.0084,0.0003,0.0105,0.0003
92,0.0094,0.0003,0.0084,0.0003,0.0104,0.0003
93,0.0094,0.0003,0.0084,0.0003,0.0104,0.0003
94,0.0093,0.0003,0.0083,0.0003,0.0103,0.0003
