Site,lon,lat,region,observed_m,modelled_mean_m,modelled_min_m,modelled_max_m,diff_vs_mean,diff_vs_min,diff_vs_max,basin
332,-33.64,36.88,North Atlantic,96.50,14.76,13.12,16.40,81.74,83.38,80.10,Atlantic
396,-43.52,22.99,North Atlantic,101.80,76.61,68.10,85.12,25.19,33.70,16.68,Atlantic
9,-59.20,32.77,North Atlantic,20.30,11.69,10.39,12.99,8.61,9.91,7.31,Atlantic
137,-27.06,25.93,North Atlantic,69.70,20.37,18.10,22.63,49.33,51.60,47.07,Atlantic
417,-68.04,25.11,North Atlantic,16.90,2.31,2.05,2.57,14.59,14.85,14.33,Atlantic
543,-58.65,15.71,North Atlantic,1.20,48.86,43.43,54.29,-47.66,-42.23,-53.09,Atlantic
15,-17.98,-30.89,South Atlantic,108.00,118.12,105.00,131.25,-10.12,3.00,-23.25,Atlantic
19,-23.68,-28.53,South Atlantic,78.00,126.13,112.11,140.14,-48.13,-34.11,-62.14,Atlantic
894,-101.53,2.30,North Pacific,7.50,0.00,0.00,0.00,7.50,7.50,7.50,Pacific
856,-128.68,48.44,North Pacific,3.00,0.83,0.74,0.93,2.17,2.26,2.07,Pacific
485,-107.90,22.75,North Pacific,9.10,1.09,0.97,1.21,8.01,8.13,7.89,Pacific
1256,-91.93,6.74,North Pacific,132.50,86.92,77.26,96.58,45.58,55.24,35.92,Pacific
1224,-141.98,27.89,North Pacific,0.00,112.01,99.56,124.45,-112.01,-99.56,-124.45,Pacific
1215,-147.93,26.03,North Pacific,32.80,10.73,9.54,11.93,22.07,23.26,20.87,Pacific
192,164.71,53.01,North Pacific,36.20,52.65,46.80,58.50,-16.45,-10.60,-22.30,Pacific
164,-161.52,13.20,North Pacific,1.30,11.75,10.44,13.05,-10.45,-9.14,-11.75,Pacific
464,173.89,39.86,North Pacific,55.20,76.14,67.68,84.60,-20.94,-12.48,-29.40,Pacific
66,-166.12,2.39,North Pacific,0.60,24.25,21.55,26.94,-23.65,-20.95,-26.34,Pacific
303,154.45,40.81,North Pacific,10.20,5.04,4.48,5.59,5.16,5.72,4.61,Pacific
1179,159.96,41.08,North Pacific,3.00,3.39,3.01,3.77,-0.39,-0.01,-0.77,Pacific
166,-175.08,3.76,North Pacific,25.70,46.56,41.39,51.73,-20.86,-15.69,-26.03,Pacific
304,155.07,39.34,North Pacific,17.00,3.05,2.71,3.39,13.95,14.29,13.61,Pacific
1149,143.35,31.34,North Pacific,63.10,11.44,10.17,12.72,51.66,52.93,50.38,Indian
307,161.01,28.59,North Pacific,28.20,0.17,0.17,0.17,28.03,28.03,28.03,Pacific
169,173.55,10.67,North Pacific,13.20,0.00,0.00,0.00,13.20,13.20,13.20,Pacific
801,156.36,18.64,North Pacific,7.70,0.00,0.00,0.00,7.70,7.70,7.70,Pacific
838,-176.89,-20.83,South Pacific,26.70,7.46,6.63,8.28,19.24,20.07,18.42,Pacific
595,-165.53,-23.82,South Pacific,0.00,0.04,0.03,0.04,-0.04,-0.03,-0.04,Pacific
250,39.37,-33.46,Indian,28.90,0.00,0.00,0.00,28.90,28.90,28.90,Indian
256,100.78,-23.46,Indian,0.00,27.79,24.71,30.88,-27.79,-24.71,-30.88,Indian
257,108.35,-30.99,Indian,8.00,28.77,25.58,31.97,-20.77,-17.58,-23.97,Indian
261,117.89,-12.95,Indian,86.10,0.04,0.04,0.04,86.06,86.06,86.06,Indian
265,109.95,-53.54,Indian,87.50,81.30,72.27,90.33,6.20,15.23,-2.83,Indian
266,110.11,-56.40,Indian,108.20,128.69,114.39,142.99,-20.49,-6.19,-34.79,Indian
213,93.90,-10.21,Indian,8.30,0.00,0.00,0.00,8.30,8.30,8.30,Indian
240,50.05,-3.49,Indian,27.60,0.12,0.10,0.13,27.48,27.50,27.47,Indian
239,51.68,-21.30,Philippine Sea,90.30,12.38,11.00,13.75,77.92,79.30,76.55,Indian
323,-98.00,-63.68,Southern,6.70,0.00,0.00,0.00,6.70,6.70,6.70,Pacific
