# Per-time DM2026 - BW1991 carbonate-thickness statistics
# over the cells where both products produce carbonate.
# Positive = DM2026 produces more carbonate than BW1991.
time_Ma,n_cells,mean,std,median,iqr,max_abs,mean_abs
0,564429,-4.0503,22.6157,0.0000,6.5999,113.5190,12.5198
1,565122,-3.6767,22.2617,0.0000,6.4311,108.6844,12.3836
2,565364,-3.2263,21.4862,0.0000,6.2512,108.7395,12.0376
3,565555,-2.6774,20.6579,0.0000,6.0289,110.8806,11.5941
4,565869,-2.2110,20.0868,0.0000,5.9813,108.7638,11.3513
5,565505,-1.8207,19.6843,0.0000,6.0387,112.7720,11.2080
6,565744,-1.4204,19.2237,0.0000,6.1340,108.7528,11.0260
7,565575,-0.8584,18.6868,0.0000,6.0817,108.8744,10.7521
8,565555,-0.2298,18.1334,0.0000,5.9783,111.0576,10.4346
9,565424,0.4962,17.6022,0.0000,5.7784,108.8098,10.0786
10,565387,1.3140,17.1414,0.0000,5.4769,114.1758,9.7138
11,565790,2.0578,16.8927,0.0000,5.3620,108.6963,9.5051
12,565605,2.5406,16.7515,0.0000,5.5068,111.8723,9.3951
13,565534,2.9464,16.6704,0.0000,5.6153,108.7288,9.3118
14,565270,3.3035,16.6525,0.0000,5.7486,111.4528,9.2699
15,565022,3.6422,16.6603,0.0000,5.7307,108.7737,9.2342
16,564900,3.9043,16.7410,0.0000,5.6895,108.7407,9.2794
17,565010,4.1694,16.7841,0.0000,5.6848,110.4004,9.2932
18,565025,4.4924,16.8658,0.0000,5.6410,108.7334,9.3179
19,564968,4.8679,16.9935,0.0000,5.6703,114.4305,9.3788
20,564794,5.2432,17.1758,0.0000,5.7447,108.7424,9.4823
21,566432,5.5748,17.4062,0.0000,6.0007,114.7282,9.6581
22,566240,5.8913,17.6641,0.0000,6.3289,108.8826,9.8701
23,566036,6.1600,17.9088,0.0000,6.6281,112.7808,10.0735
24,565629,6.3160,18.1095,0.0000,6.9536,108.8154,10.2693
25,565629,6.4238,18.2449,0.0000,7.3015,108.8433,10.4222
26,565552,6.3740,18.2332,0.0000,7.5584,108.7920,10.4748
27,565302,6.3091,18.1556,0.0000,7.9220,108.8369,10.5087
28,564873,6.2767,18.0936,0.0000,8.1650,113.5086,10.5441
29,565187,6.0462,17.6795,0.0000,8.3837,108.8660,10.4130
30,564708,5.5321,16.8197,0.0000,8.2557,112.9507,10.0244
31,565997,4.8822,15.9307,0.0000,8.0772,108.6938,9.6038
32,565795,4.2345,14.9733,0.0000,7.8510,107.0230,9.1195
33,565502,3.4925,13.9646,0.0000,7.5213,103.4338,8.5765
34,565434,2.7611,13.0056,0.0000,7.1324,98.2653,8.0067
35,565029,2.0384,12.2327,0.0000,6.7703,92.1795,7.4814
36,565051,1.4017,11.5975,0.0000,6.4175,86.6936,7.0187
37,564370,0.8617,11.1575,0.0000,6.2164,83.1228,6.6665
38,564323,0.3635,10.8138,0.0000,5.7407,81.4981,6.3566
39,564230,0.0562,10.6710,0.0000,5.4752,77.8653,6.2166
40,563896,0.0941,10.7514,0.0000,5.7256,79.0420,6.3144
41,564835,0.0536,10.8234,0.0000,5.9645,78.1725,6.4043
42,564711,-0.1640,10.7213,0.0000,6.0495,77.4658,6.3404
43,564441,-0.3003,10.6962,0.0000,6.1235,76.0694,6.3164
44,564001,-0.5209,10.6472,0.0000,6.1663,72.6566,6.2533
45,563633,-0.7379,10.6497,0.0000,6.2017,73.4004,6.2078
46,564169,-0.9002,10.6792,0.0000,6.2645,67.9646,6.1900
47,564198,-1.1309,10.6607,0.0000,6.1116,70.3910,6.0828
48,564279,-1.3168,10.7348,0.0000,5.4374,73.4555,6.0585
49,563990,-1.3232,10.8199,0.0000,5.6362,70.2284,6.1485
50,563857,-1.3327,10.8929,0.0000,5.9298,71.8302,6.2482
51,571848,-1.3613,11.0818,0.0000,6.0091,71.2056,6.3943
52,571564,-1.4613,11.1782,0.0000,5.8144,71.3720,6.4668
53,571131,-1.5249,11.2778,-0.0063,5.8926,70.3605,6.5580
54,571298,-1.5493,11.3504,0.0000,6.0926,73.8179,6.6542
55,570210,-1.6410,11.4378,0.0000,6.0980,70.0271,6.7322
56,570101,-1.8309,11.5473,-0.0481,6.0447,74.5104,6.7948
57,570996,-1.8731,11.6018,-0.0777,5.9645,71.4800,6.8550
58,571074,-1.9153,11.6531,-0.1206,6.0140,74.3582,6.9257
59,571398,-2.0517,11.7692,-0.2168,6.0735,73.9798,7.0524
60,571423,-2.1847,11.8928,-0.3655,6.2184,72.4312,7.2082
