# Mean |DM2026 - BW1991| (m) per (basin, 10-deg lat band).
# Lat-band tag = band centre in degrees (signed).
time_Ma,Arctic_-85,Arctic_-75,Arctic_-65,Arctic_-55,Arctic_-45,Arctic_-35,Arctic_-25,Arctic_-15,Arctic_-5,Arctic_+5,Arctic_+15,Arctic_+25,Arctic_+35,Arctic_+45,Arctic_+55,Arctic_+65,Arctic_+75,Arctic_+85,Southern_-85,Southern_-75,Southern_-65,Southern_-55,Southern_-45,Southern_-35,Southern_-25,Southern_-15,Southern_-5,Southern_+5,Southern_+15,Southern_+25,Southern_+35,Southern_+45,Southern_+55,Southern_+65,Southern_+75,Southern_+85,Pacific_-85,Pacific_-75,Pacific_-65,Pacific_-55,Pacific_-45,Pacific_-35,Pacific_-25,Pacific_-15,Pacific_-5,Pacific_+5,Pacific_+15,Pacific_+25,Pacific_+35,Pacific_+45,Pacific_+55,Pacific_+65,Pacific_+75,Pacific_+85,Atlantic_-85,Atlantic_-75,Atlantic_-65,Atlantic_-55,Atlantic_-45,Atlantic_-35,Atlantic_-25,Atlantic_-15,Atlantic_-5,Atlantic_+5,Atlantic_+15,Atlantic_+25,Atlantic_+35,Atlantic_+45,Atlantic_+55,Atlantic_+65,Atlantic_+75,Atlantic_+85,Indian_-85,Indian_-75,Indian_-65,Indian_-55,Indian_-45,Indian_-35,Indian_-25,Indian_-15,Indian_-5,Indian_+5,Indian_+15,Indian_+25,Indian_+35,Indian_+45,Indian_+55,Indian_+65,Indian_+75,Indian_+85
0,,,,,,,,,,,,,,,,0.0462,9.3676,8.6100,,10.4628,12.9406,18.5357,,,,,,,,,,,,,,,,,,17.1477,13.3170,8.1578,7.8868,10.8292,16.6656,18.5595,10.9334,12.5230,12.1135,10.9151,18.2056,19.7495,,,,,,11.2789,10.7069,10.8316,17.3867,13.1530,15.4785,16.5385,13.9811,12.5261,10.5677,13.0145,2.5794,0.0074,,,,,,15.3229,10.5750,15.3016,13.9790,13.4744,12.8141,15.8120,14.6584,15.1057,17.0408,10.6239,12.4290,,,
1,,,,,,,,,,,,,,,,0.0475,9.5304,8.2807,,10.5902,12.8258,19.0782,,,,,,,,,,,,,,,,,,17.0463,12.9525,8.2094,8.0914,10.9481,16.8008,18.0287,10.7813,12.2242,11.7072,10.7635,18.8935,19.1301,,,,,,11.3877,10.4729,10.8777,16.8847,12.8300,15.1748,16.2193,13.6990,12.2773,10.3920,12.7476,2.4033,0.0103,,,,,,14.8355,10.8099,14.6581,14.1189,13.3250,13.1214,15.5834,14.4196,15.2552,14.0768,6.3438,12.8507,,,
2,,,,,,,,,,,,,,,,0.0513,9.6015,7.8121,,10.6220,12.6554,19.1755,,,,,,,,,,,,,,,,,,16.4881,12.5512,8.1715,8.1152,10.9057,16.6616,17.2105,10.5374,11.7840,11.3920,10.5634,19.5062,18.6441,,,,,,11.3046,10.1900,10.5947,16.1943,12.2516,14.5623,15.6683,13.1566,11.9983,10.1073,12.4775,2.2515,0.0080,,,,,,13.9915,10.8403,13.8252,14.1099,13.1938,13.4155,15.2506,13.7967,14.9090,12.7814,6.3630,12.2781,,,
3,,,,,,,,,,,,,,,,0.0510,9.7096,7.3537,,10.4988,12.3806,18.3106,,,,,,,,,,,,,,,,,,15.8205,12.2047,8.0065,8.0363,10.6976,16.2763,16.2975,10.2978,11.4365,11.0222,10.3859,19.7542,18.2062,,,,,,10.9588,9.8256,10.3342,15.2820,11.7251,14.0105,14.9438,12.7130,11.6632,9.6836,11.7925,2.0049,0.0068,,,,,,13.1295,10.8127,12.8122,13.9951,13.0882,13.1029,14.5782,13.2934,15.0248,10.6203,6.5108,11.8496,,,
4,,,,,,,,,,,,,,,,0.0586,9.7239,7.0198,,10.6822,12.2391,17.6005,,,,,,,,,,,,,,,,,,15.3067,11.8655,7.9466,7.9975,10.7838,16.0193,15.7253,10.0584,11.1932,10.7217,10.3762,19.9880,16.9928,,,,,,10.8306,9.5985,10.1710,14.7105,11.3072,13.5432,14.4142,12.4378,11.4487,9.4656,11.5252,1.8514,0.0136,,,,,,12.4948,10.8596,12.0812,13.8704,12.9788,13.0778,13.9714,12.8115,14.8654,10.3113,9.6105,11.3349,,,
5,,,,,,,,,,,,,,,,0.0577,9.7854,6.8321,,10.9326,12.2026,17.2398,,,,,,,,,,,,,,,,,,14.9276,11.7270,8.0363,7.9926,11.0270,16.1921,15.1001,9.9264,10.9488,10.4942,10.4941,19.9739,16.8358,,,,,,10.7708,9.3892,10.0561,14.2389,10.8984,13.1673,13.9603,12.2507,11.3386,9.1818,11.1888,1.7521,0.0087,,,,,,12.0590,10.7975,11.6744,13.8113,12.9742,13.2026,13.6481,12.2988,14.6009,9.3757,11.1300,11.4793,,,
6,,,,,,,,,,,,,,,,0.0616,9.7355,6.6873,,10.9866,12.0777,16.6137,,,,,,,,,,,,,,,,,,14.5706,11.4082,8.0992,7.8972,11.3718,15.9051,14.6045,9.7419,10.7109,10.3288,10.6167,19.8179,15.7122,,,,,,10.5512,9.0749,9.7934,13.6743,10.5464,12.7425,13.5373,11.9723,11.1565,8.9407,10.8555,1.5928,0.0080,,,,,,11.5066,10.6249,11.2696,13.6722,12.7709,13.1978,13.3785,12.3937,15.0018,9.0941,12.4156,12.0374,0.0000,,
7,,,,,,,,,,,,,,,,0.0616,9.6601,6.6541,,11.1207,11.8404,15.7737,,,,,,,,,,,,,,,,,,14.0533,11.0959,8.1419,7.6413,11.3863,15.4978,14.0255,9.5121,10.3825,10.2318,10.7610,19.0910,13.8462,,,,,,10.2133,8.7761,9.5913,13.0792,10.0208,12.2444,12.8925,11.6380,10.9326,8.5908,10.3508,1.4620,0.0131,,,,,,10.8441,10.2713,10.7988,13.4466,12.6882,13.2184,12.7496,11.6819,14.5482,8.4859,9.8617,12.7057,0.0000,,
8,,,,,,,,,,,,,,,,0.0664,9.6605,6.6828,,11.5716,11.6156,15.3105,,,,,,,,,,,,,,,,,,13.4315,10.7470,8.0396,7.2348,11.2350,14.9873,13.4892,9.1375,10.0751,10.1392,10.7836,18.1393,13.7890,,,,,,9.7265,8.4133,9.2219,12.4071,9.4166,11.6348,12.2624,11.3314,10.6731,8.3385,9.8266,1.3360,0.0098,,,,,,10.1414,9.8960,10.2926,13.1334,12.5586,13.1232,11.9694,11.1550,13.8937,7.6270,9.2866,11.6029,0.0000,,
9,,,,,,,,,,,,,,,,0.0736,9.5523,6.6263,,11.8940,11.4163,14.9583,,,,,,,,,,,,,,,,,,12.5716,10.3625,7.7968,6.6910,10.8218,14.4743,12.8699,8.8739,9.6973,10.0368,10.8023,17.3323,13.5108,,,,,,9.1839,8.0154,8.9010,11.8234,8.9149,11.0993,11.6046,10.9730,10.3985,8.0803,9.0951,1.2442,0.0106,,,,,,9.3032,9.4594,9.5825,12.6881,12.4210,12.8383,11.2816,10.8578,12.1579,6.4574,8.0397,12.2378,0.0000,,
