# Per-1Myr mean +/- std of compacted carbonate thickness (m)
# computed over the common deposition mask.
time_Ma,mean_DM,std_DM,mean_BW,std_BW
0,152.7018,192.7283,156.7521,193.8525
1,151.2678,192.3557,154.9445,193.4754
2,150.1237,191.9830,153.3501,193.0945
3,148.9232,191.7219,151.6006,192.8039
4,147.8282,191.2752,150.0392,192.3674
5,146.6480,190.8402,148.4687,191.8884
6,146.0111,190.7246,147.4315,191.7740
7,145.0424,190.2983,145.9008,191.3237
8,144.1865,189.9811,144.4163,190.9921
9,144.3226,190.5182,143.8264,191.5714
10,143.4148,189.9799,142.1009,190.9967
11,142.4873,189.2570,140.4295,190.2858
12,141.5695,189.0597,139.0289,190.1376
13,140.3737,188.7092,137.4272,189.7617
14,139.5517,188.6725,136.2482,189.7506
15,138.7337,188.4411,135.0915,189.4909
16,138.0140,188.4538,134.1096,189.5072
17,137.1414,188.3637,132.9721,189.4423
18,136.0430,188.0021,131.5507,189.0748
19,135.4569,188.0349,130.5891,189.1286
20,134.4883,187.9637,129.2451,189.0690
21,133.4822,187.8363,127.9074,188.9718
22,132.7387,188.0389,126.8474,189.2197
23,131.7121,187.9944,125.5520,189.1899
24,131.0218,188.4925,124.7059,189.7364
25,130.0504,188.7373,123.6265,190.0096
26,129.3327,189.5509,122.9587,190.9069
27,128.4656,190.3710,122.1565,191.7884
28,128.0798,191.9579,121.8031,193.4271
29,126.6819,191.8450,120.6358,193.3553
30,125.0274,191.4803,119.4953,192.9359
31,123.6618,191.0426,118.7796,192.4928
32,121.8133,190.0554,117.5788,191.4260
33,120.1274,189.2621,116.6349,190.5718
34,118.4872,188.0648,115.7260,189.2994
35,116.7978,186.7690,114.7594,187.9580
36,114.9055,185.3633,113.5039,186.4986
37,113.2268,184.1535,112.3651,185.2497
38,111.3913,182.7695,111.0278,183.8185
39,109.7561,181.4374,109.6999,182.4545
40,108.1908,179.9483,108.0966,180.9558
41,106.8580,178.4525,106.8044,179.5002
42,105.2811,176.9231,105.4451,177.9711
43,103.8366,175.5313,104.1369,176.5743
44,102.5879,174.1301,103.1087,175.1644
45,101.2667,172.6032,102.0047,173.6681
46,99.9859,171.0245,100.8861,172.1068
47,96.8875,169.4696,98.0183,170.5147
48,95.7479,168.1788,97.0647,169.2309
49,94.7099,166.5181,96.0331,167.5913
50,93.7857,165.0771,95.1184,166.1776
51,93.0374,163.4780,94.3987,164.6126
52,95.4372,165.6597,96.8986,166.7648
53,93.5565,163.3171,95.0814,164.4626
54,91.4261,160.6951,92.9754,161.8547
55,89.3248,157.9085,90.9658,159.0861
56,87.9250,156.0407,89.7559,157.2343
57,86.9325,154.7052,88.8056,155.8803
58,85.4944,152.8162,87.4098,153.9844
59,84.0898,151.1588,86.1415,152.3043
60,82.7232,149.4419,84.9078,150.5722
61,81.2842,147.4820,83.5272,148.5949
62,80.6086,146.1859,82.7885,147.2236
63,79.2507,144.3321,81.2685,145.3666
64,78.0465,142.4106,79.8937,143.3969
65,76.8694,140.4430,78.5536,141.3684
66,75.7900,138.5413,77.2943,139.4376
67,74.7291,136.6517,75.9654,137.4995
68,73.5076,134.7191,74.5585,135.5038
69,71.9593,132.3261,72.7901,133.0524
70,72.3514,132.3258,72.9605,132.9595
71,70.2027,129.0220,70.5830,129.6555
72,69.3251,127.0855,69.4613,127.6970
73,68.5087,125.2106,68.4128,125.7970
74,67.6252,123.3173,67.3275,123.8840
75,67.0519,121.7381,66.5659,122.2618
76,67.3844,121.2857,66.7445,121.7683
77,66.4056,119.3092,65.6492,119.7455
78,65.8315,117.7771,64.9968,118.1812
79,65.0299,115.9635,64.1427,116.3408
80,64.1630,114.0716,63.2505,114.4454
81,63.3452,112.1220,62.4262,112.5072
82,62.3520,110.0258,61.4232,110.4016
83,61.5573,108.0253,60.6214,108.3926
84,61.4242,106.0895,60.4491,106.4358
85,60.4171,104.3924,59.4215,104.7109
86,59.3643,102.3948,58.3925,102.6996
87,58.1591,100.3030,57.2571,100.5840
88,57.3858,98.6580,56.5730,98.9249
89,55.9888,96.3729,55.2654,96.6243
90,54.7482,94.2774,54.0936,94.4972
91,53.7109,92.2967,53.0830,92.5039
92,52.6785,90.1614,52.0222,90.3432
93,51.6092,87.9455,50.9065,88.0856
94,49.4979,84.2387,48.7862,84.3549
95,48.1105,81.5724,47.4101,81.6683
96,46.5922,78.8065,45.9337,78.8784
97,45.3386,76.3310,44.6939,76.3604
98,44.1256,73.9845,43.4597,73.9712
99,42.9477,71.7521,42.2269,71.6892
100,41.8104,69.6946,40.9830,69.5695
101,41.2162,68.0448,40.2823,67.8531
102,40.3004,66.2744,39.2292,65.9956
103,39.2515,64.5541,38.1221,64.1911
104,38.1911,62.7917,36.9844,62.3739
105,37.2089,61.1436,35.8768,60.6772
106,36.0680,59.4202,34.6685,58.9152
